Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP3937,Microglia pathogen phagocytosis pathway,,-2.1,5.2,3.7,30230,40,584,4,0.68,0.34,5286|5290|7410|10451,PIK3C2A|PIK3CA|VAV2|VAV3,-0.69,MyList
GO Biological Processes,19,GO:0031646,positive regulation of nervous system process,19_GO:0048518 positive regulation of biological process,-2.1,5.2,3.7,30230,40,584,4,0.68,0.34,1143|1959|5129|23405,CHRNB4|EGR2|CDK18|DICER1,-0.69,MyList
GO Biological Processes,19,GO:0006887,exocytosis,19_GO:0051179 localization,-2.1,2.4,3,30230,240,584,11,1.9,0.56,5286|5873|6845|6854|9783|23167|25837|55362|93664|134957|143425,PIK3C2A|RAB27A|VAMP7|SYN2|RIMS3|EFR3A|RAB26|TMEM63B|CADPS2|STXBP5|SYT9,-0.69,MyList
GO Cellular Components,20,GO:0032806,carboxy-terminal domain protein kinase complex,,-2.1,7.4,4.1,30230,21,584,3,0.51,0.3,2068|2071|2968,ERCC2|ERCC3|GTF2H4,-0.69,MyList
GO Biological Processes,19,GO:0002204,somatic recombination of immunoglobulin genes involved in immune response,19_GO:0002376 immune system process,-2.1,7.4,4.1,30230,21,584,3,0.51,0.3,3981|4292|7374,LIG4|MLH1|UNG,-0.69,MyList
WikiPathways,27,WP4961,STING pathway in Kawasaki like disease and COVID 19,,-2.1,7.4,4.1,30230,21,584,3,0.51,0.3,3551|79671|340061,IKBKB|NLRX1|STING1,-0.69,MyList
WikiPathways,27,WP5521,SLC25A46 pathway,,-2.1,7.4,4.1,30230,21,584,3,0.51,0.3,9927|55669|91137,MFN2|MFN1|SLC25A46,-0.69,MyList
GO Biological Processes,19,GO:0031643,positive regulation of myelination,19_GO:0032502 developmental process,-2.1,7.4,4.1,30230,21,584,3,0.51,0.3,1959|5129|23405,EGR2|CDK18|DICER1,-0.69,MyList
Reactome Gene Sets,6,R-HSA-5357956,TNFR1-induced NF-kappa-B signaling pathway,,-2.1,7.4,4.1,30230,21,584,3,0.51,0.3,1540|3551|10454,CYLD|IKBKB|TAB1,-0.69,MyList
GO Biological Processes,19,GO:0140042,lipid droplet formation,19_GO:0009987 cellular process,-2.1,7.4,4.1,30230,21,584,3,0.51,0.3,1040|23761|26580,CDS1|PISD|BSCL2,-0.69,MyList
GO Biological Processes,19,GO:0070977,bone maturation,19_GO:0032502 developmental process,-2.1,7.4,4.1,30230,21,584,3,0.51,0.3,10682|51360|57560,EBP|MBTPS2|IFT80,-0.69,MyList
GO Biological Processes,19,GO:0045190,isotype switching,19_GO:0002376 immune system process,-2.1,7.4,4.1,30230,21,584,3,0.51,0.3,3981|4292|7374,LIG4|MLH1|UNG,-0.69,MyList
GO Biological Processes,19,GO:0042632,cholesterol homeostasis,19_GO:0042592 homeostatic process,-2.1,3.1,3.2,30230,116,584,7,1.2,0.45,20|706|4547|6095|6721|23411|23461,ABCA2|TSPO|MTTP|RORA|SREBF2|SIRT1|ABCA5,-0.69,MyList
GO Biological Processes,19,GO:1903509,liposaccharide metabolic process,19_GO:0009987 cellular process,-2.1,3.1,3.2,30230,116,584,7,1.2,0.45,20|9517|64924|65258|84302|93183|128869,ABCA2|SPTLC2|SLC30A5|MPPE1|PGAP4|PIGM|PIGU,-0.69,MyList
WikiPathways,27,WP4155,Endometrial cancer,,-2.1,4.1,3.5,30230,63,584,5,0.86,0.38,673|2353|3611|5290|6655,BRAF|FOS|ILK|PIK3CA|SOS2,-0.69,MyList
Canonical Pathways,11,M8,PID ENDOTHELIN PATHWAY,,-2.1,4.1,3.5,30230,63,584,5,0.86,0.38,2353|5580|5581|5582|9630,FOS|PRKCD|PRKCE|PRKCG|GNA14,-0.69,MyList
Reactome Gene Sets,6,R-HSA-9033241,Peroxisomal protein import,,-2.1,4.1,3.5,30230,63,584,5,0.86,0.38,5192|8310|8443|11001|55825,PEX10|ACOX3|GNPAT|SLC27A2|PECR,-0.69,MyList
GO Biological Processes,19,GO:0051650,establishment of vesicle localization,19_GO:0051179 localization,-2.1,2.6,3.1,30230,176,584,9,1.5,0.51,3985|5873|10239|10948|22920|55062|58485|80128|93664,LIMK2|RAB27A|AP3S2|STARD3|KIFAP3|WIPI1|TRAPPC1|TRIM46|CADPS2,-0.68,MyList
Reactome Gene Sets,6,R-HSA-425407,SLC-mediated transmembrane transport,,-2.1,2.4,3,30230,241,584,11,1.9,0.56,1468|6515|6533|10479|23428|26503|57030|64924|81539|114134|123096,SLC25A10|SLC2A3|SLC6A6|SLC9A6|SLC7A8|SLC17A5|SLC17A7|SLC30A5|SLC38A1|SLC2A13|SLC25A29,-0.68,MyList
GO Cellular Components,20,GO:0005758,mitochondrial intermembrane space,,-2.1,3.5,3.3,30230,89,584,6,1,0.42,4833|26521|131474|153768|221154|286097,NME4|TIMM8B|CHCHD4|PRELID2|MICU2|MICU3,-0.68,MyList
GO Biological Processes,19,GO:0001510,RNA methylation,19_GO:0009987 cellular process,-2.1,3.5,3.3,30230,89,584,6,1,0.42,10785|27292|29081|51106|57570|60487,WDR4|DIMT1|METTL5|TFB1M|TRMT5|TRMT11,-0.68,MyList
GO Biological Processes,19,GO:0071230,cellular response to amino acid stimulus,19_GO:0050896 response to stimulus,-2.1,3.5,3.3,30230,89,584,6,1,0.42,10325|27244|57559|64121|84861|729438,RRAGB|SESN1|STAMBPL1|RRAGC|KLHL22|CASTOR2,-0.68,MyList
GO Biological Processes,19,GO:0055092,sterol homeostasis,19_GO:0042592 homeostatic process,-2.1,3.1,3.2,30230,117,584,7,1.2,0.45,20|706|4547|6095|6721|23411|23461,ABCA2|TSPO|MTTP|RORA|SREBF2|SIRT1|ABCA5,-0.67,MyList
GO Biological Processes,19,GO:0032648,regulation of interferon-beta production,19_GO:0032501 multicellular organismal process,-2.1,4,3.4,30230,64,584,5,0.86,0.38,4938|55703|79671|91947|340061,OAS1|POLR3B|NLRX1|ARRDC4|STING1,-0.66,MyList
