_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.5,R-HSA-9609507,Protein localization,M1,1,0
1,-2.9,GO:0016197,endosomal transport,M1,1,0
1,-2.5,GO:0046889,positive regulation of lipid biosynthetic process,M1,1,0
1,-3,GO:0090066,regulation of anatomical structure size,M1,1,0
1,-3,GO:0006643,membrane lipid metabolic process,M1,1,0
1,-4.7,GO:0007033,vacuole organization,M1,1,0
1,-2.7,GO:0030301,cholesterol transport,M1,1,0
1,-2.2,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-4.6,GO:0046034,ATP metabolic process,M1,1,0
1,-2.8,WP4905,1q21 1 copy number variation syndrome,M1,1,0
1,-2.7,M128,PID TNF PATHWAY,M1,1,0
1,-9.4,GO:0010876,lipid localization,M1,1,0
1,-2.6,GO:0044773,mitotic DNA damage checkpoint signaling,M1,1,0
1,-2.6,GO:0015986,proton motive force-driven ATP synthesis,M1,1,0
1,-3.2,WP722,Serotonin HTR1 group and FOS pathway,M1,1,0
1,-6.2,WP5470,Effect of omega 3 PUFA on Huntington 39 s disease pathways,M1,1,0
1,-4.1,GO:0098657,import into cell,M1,1,0
1,-3.6,hsa04620,Toll-like receptor signaling pathway,M1,1,0
1,-2.7,R-HSA-380972,Energy dependent regulation of mTOR by LKB1-AMPK,M1,1,0
1,-11,GO:0006644,phospholipid metabolic process,M1,1,0
1,-4.8,WP4803,Ciliopathies,M1,1,0
1,-2.6,hsa05012,Parkinson disease,M1,1,0
1,-2.2,GO:0006367,transcription initiation at RNA polymerase II promoter,M1,1,0
1,-2.4,GO:0007041,lysosomal transport,M1,1,0
1,-3.9,hsa04666,Fc gamma R-mediated phagocytosis,M1,1,0
1,-2.5,GO:0009411,response to UV,M1,1,0
1,-3.1,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M1,1,0
1,-2.9,GO:0021533,cell differentiation in hindbrain,M1,1,0
1,-2.3,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-2.4,WP5526,Age related macular degeneration,M1,1,0
1,-2.7,WP3594,Circadian rhythm genes,M1,1,0
1,-3.7,R-HSA-450294,MAP kinase activation,M1,1,0
1,-3.7,GO:0097730,non-motile cilium,M1,1,0
1,-2.8,GO:0044232,organelle membrane contact site,M1,1,0
1,-2.4,GO:0033108,mitochondrial respiratory chain complex assembly,M1,1,0
1,-5,R-HSA-5617833,Cilium Assembly,M1,1,0
1,-3.3,GO:0062197,cellular response to chemical stress,M1,1,0
1,-5,GO:1900864,mitochondrial RNA modification,M1,1,0
1,-5.9,GO:1902911,protein kinase complex,M1,1,0
1,-2.4,GO:0030097,hemopoiesis,M1,1,0
1,-2.1,GO:0032981,mitochondrial respiratory chain complex I assembly,M1,1,0
1,-5.1,GO:0005776,autophagosome,M1,1,0
1,-2.4,GO:0006906,vesicle fusion,M1,1,0
1,-3.4,GO:0051592,response to calcium ion,M1,1,0
1,-4,GO:0046854,phosphatidylinositol phosphate biosynthetic process,M1,1,0
1,-3.4,WP4880,Host pathogen interaction of human coronaviruses interferon induction,M1,1,0
1,-4.7,GO:1902115,regulation of organelle assembly,M1,1,0
1,-2.2,GO:0048839,inner ear development,M1,1,0
1,-4.9,GO:0032588,trans-Golgi network membrane,M1,1,0
1,-4.1,GO:0051560,mitochondrial calcium ion homeostasis,M1,1,0
1,-2.3,WP4324,Mitochondrial complex I assembly model OXPHOS system,M1,1,0
1,-2.1,GO:0032806,carboxy-terminal domain protein kinase complex,M1,1,0
1,-2,R-HSA-5696395,Formation of Incision Complex in GG-NER,M1,1,0
