plot_id,plot_title,x_label,y_label,name,ID,x_ratio,y_ratio,x_padj,y_padj,significant_x,significant_y,significance_class,significant_either_axis,combined_abs_ratio
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCUB,Q9NWR8,0.343,0.844,0.999035847456636,0.208742112599166,FALSE,FALSE,Not significant,FALSE,1.187
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCUR1,Q96AQ8,0.219,0.492,0.999035847456636,0.0599911939248577,FALSE,FALSE,Not significant,FALSE,0.711
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MDC1,Q14676,-0.309,0.217,0.999035847456636,0.668636314205005,FALSE,FALSE,Not significant,FALSE,0.526
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MDFIC,Q9P1T7,0.347,-0.522,0.999035847456636,0.143291290836486,FALSE,FALSE,Not significant,FALSE,0.869
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MDH1,P40925,-0.00858,-0.148,0.999035847456636,0.682005719488254,FALSE,FALSE,Not significant,FALSE,0.15658
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MDH2,P40926,-0.326,-0.103,0.999035847456636,0.908693847865732,FALSE,FALSE,Not significant,FALSE,0.429
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MDK,P21741,-0.669,-0.581,0.999035847456636,0.499923605730733,FALSE,FALSE,Not significant,FALSE,1.25
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MDN1,Q9NU22,0.311,1.1,0.999035847456636,0.00167925265707618,FALSE,TRUE,Significant on y-axis only,TRUE,1.411
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,ME1,P48163,0.151,-0.105,0.999035847456636,0.717366959364523,FALSE,FALSE,Not significant,FALSE,0.256
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,ME2,P23368,0.152,0.671,0.999035847456636,0.00511942719685463,FALSE,TRUE,Significant on y-axis only,TRUE,0.8230000000000001
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MEAF6,Q9HAF1,-0.268,0.00567,0.999035847456636,0.991243439504819,FALSE,FALSE,Not significant,FALSE,0.27367
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MEAK7,Q6P9B6,-0.00528,-0.132,0.999035847456636,0.647512490938407,FALSE,FALSE,Not significant,FALSE,0.13728
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MECOM,Q03112,-0.105,-0.0991,0.999035847456636,0.835516228358637,FALSE,FALSE,Not significant,FALSE,0.2041
