"name","ID","log2fc_100_vs_vehicle","log2fc_200_vs_vehicle","pvalue_100_vs_vehicle","pvalue_200_vs_vehicle","direction_100","direction_200","sig_100","sig_200","significance_group","same_direction","combined_abs_log2fc","min_pvalue"
"[TG38:0] NL 20:0","684.61417 -> 355.284791",0.457,0.643,0.386524873787067,0.232331484560077,"NS","NS",FALSE,FALSE,"Not significant","not significant",1.1,0.232331484560077
"[TG44:1]","766.69247 -> 577.519591",-0.115,-0.119,0.136229264425226,0.123224322480462,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.234,0.123224322480462
"[TG44:4] NL 20:0","760.64547 -> 431.316091",0.461,0.555,0.208313141808918,0.137507938727922,"NS","NS",FALSE,FALSE,"Not significant","not significant",1.016,0.137507938727922
"[TG44:5] NL 20:0","758.62987 -> 429.300491",0.373,0.69,0.293430387169157,0.0696246979287473,"NS","Up",FALSE,TRUE,"200uM only","dose-specific or opposite",1.063,0.0696246979287473
"[TG46:0] NL 16:0","796.73937 -> 523.472591",-0.0559,-0.189,0.58146379356521,0.0858111420812524,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2449,0.0858111420812524
"[TG48:7","810.75507 -> 537.488291",-0.212,-0.268,0.169545518205166,0.0923198414255814,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.48,0.0923198414255814
"[TG50:8","836.77067 -> 563.503891",-0.0919,-0.204,0.48429921218737,0.141432492793394,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2959,0.141432492793394
"[TG50:9","834.75507 -> 563.503941",0.228,0.0861,0.0996328408380846,0.504917777461864,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.3141,0.0996328408380846
"CAR 20:1","454.389625 -> 85.1",0.0489,0.428,0.890799774577194,0.248603964135251,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.4769,0.248603964135251
"CAR 22:0","484.436625 -> 85.1",0.177,0.25,0.404491745556997,0.248050223330579,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.427,0.248050223330579
"Cer(d14:1/16:0)","482.457325 -> 208.3",0.438,0.0557,0.00576696602578277,0.653792864256697,"Up","NS",TRUE,FALSE,"100uM only","dose-specific or opposite",0.4937,0.00576696602578277
"Cer(d14:1/20:0)","538.519925 -> 208.3",0.584,0.449,0.143254935258325,0.24839681730682,"NS","NS",FALSE,FALSE,"Not significant","not significant",1.033,0.143254935258325
"Cer(d14:1/24:0(2OH))","610.577425 -> 208.3",0.405,0.178,0.0941810133593168,0.431059263844322,"Up","NS",TRUE,FALSE,"100uM only","dose-specific or opposite",0.583,0.0941810133593168
"Cer(d14:2/16:0)","480.441625 -> 206.3",0.659,0.0922,0.00900425300471989,0.650361771861508,"Up","NS",TRUE,FALSE,"100uM only","dose-specific or opposite",0.7512,0.00900425300471989
"Cer(d14:2/20:0)","536.504225 -> 206.3",0.59,0.241,0.158971094703039,0.544599143880852,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.831,0.158971094703039
"Cer(d18:0/20:0(2OH))","612.593125 -> 266.3",0.804,0.181,0.0945730562438258,0.682923669393635,"Up","NS",TRUE,FALSE,"100uM only","dose-specific or opposite",0.985,0.0945730562438258
"Cer(d18:0/20:0)","596.598125 -> 266.3",0.268,-0.0365,0.199110617858737,0.854024795027924,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.3045,0.199110617858737
"Cer(d18:1/16:0)","538.519925 -> 264.3",0.263,0.363,0.0744541739012049,0.0215475730017389,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.626,0.0215475730017389
"Cer(d18:1/18:0)","566.551225 -> 264.3",0.12,0.143,0.206639756687172,0.139697064758691,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.263,0.139697064758691
"Cer(d18:1/20:0(OH)","610.577425 -> 264.3",0.174,0.0619,0.465979171855441,0.792241987562426,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2359,0.465979171855441
"Cer(d18:1/22:0)","622.613825 -> 264.3",0.07,0.122,0.64469499006334,0.42674795132043,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.192,0.42674795132043
"Cer(d18:1/24:0)","650.645125 -> 264.3",0.0393,0.32,0.73227245072585,0.0190577395307845,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.3593,0.0190577395307845
"Cer(d18:1/24:1)","648.629425 -> 264.3",0.0809,0.0688,0.530461914243203,0.592162850045335,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1497,0.530461914243203
"DG 30:1 NL 16:0","556.49407 -> 283.227291",0.461,-0.656,0.223523336315305,0.0965387067635734,"NS","Down",FALSE,TRUE,"200uM only","dose-specific or opposite",1.117,0.0965387067635734
"DG 30:2 NL 16:0","554.47847 -> 281.211691",0.35,-0.966,0.534799338175811,0.110139858633005,"NS","NS",FALSE,FALSE,"Not significant","not significant",1.316,0.110139858633005
"DG 30:2 NL 16:1","554.47847 -> 283.227341",0.272,-0.262,0.333070287516886,0.350207253069628,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.534,0.333070287516886
"DG 30:3 NL 16:1","552.46277 -> 281.211641",0.0777,-0.438,0.839799129663724,0.27222521606383,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.5157,0.27222521606383
"DG 32:0 NL 16:0","586.54107 -> 313.274291",-0.422,-0.486,0.00194150534192148,0.000782478504843654,"Down","Down",TRUE,TRUE,"Significant in both","same",0.908,0.000782478504843654
"DG 32:5 NL 18:1","576.46277 -> 277.16277",0.139,-0.34,0.61044906717715,0.230674618570989,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.479,0.230674618570989
