"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"AKT2",-0.281,0.925667662874076,-0.3,0.93,"-0.3","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKT3",-0.395,0.515376565013318,-0.4,0.52,"-0.4","0.52","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKTIP",0.0748,0.966354624563979,0.1,0.97,"0.1","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALAD",-0.47,0.618616760990609,-0.5,0.62,"-0.5","0.62","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALAS1",0.537,0.824941314732187,0.5,0.82,"0.5","0.82","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ALCAM",0.606,0.657419505584535,0.6,0.66,"0.6","0.66","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH16A1",0.0706,0.948997084601886,0.1,0.95,"0.1","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1A1",-0.895,NA,-0.9,NA,"-0.9",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ALDH1A2",-0.161,0.734805102880228,-0.2,0.73,"-0.2","0.73","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1B1",0.205,0.790393922036905,0.2,0.79,"0.2","0.79","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1L1",0.645,0.32381465278681,0.6,0.32,"0.6","0.32","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH2",0.238,0.602343709755034,0.2,0.6,"0.2","0.60","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH3A2",0.288,0.869804353595683,0.3,0.87,"0.3","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH4A1",-0.192,0.848978903904727,-0.2,0.85,"-0.2","0.85","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH5A1",0.151,0.816127676977899,0.2,0.82,"0.2","0.82","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH6A1",0.195,0.794250205954314,0.2,0.79,"0.2","0.79","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH7A1",0.685,0.611509875496661,0.7,0.61,"0.7","0.61","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH9A1",-0.0818,0.949354916471199,-0.1,0.95,"-0.1","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDOA",-0.0394,0.962292967870537,0,0.96,"-0.0","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDOC",-0.0775,0.870166735988845,-0.1,0.87,"-0.1","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG11",0.0917,0.985171135118486,0.1,0.99,"0.1","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG13",0.326,0.671222268589058,0.3,0.67,"0.3","0.67","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG2",0.126,0.959973286955223,0.1,0.96,"0.1","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG3",0.456,0.823329626540239,0.5,0.82,"0.5","0.82","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG5",0.639,0.624135039561133,0.6,0.62,"0.6","0.62","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG6",0.461,0.85498841674657,0.5,0.85,"0.5","0.85","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG8",0.376,0.835305016138437,0.4,0.84,"0.4","0.84","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG9",0.121,0.916913840383495,0.1,0.92,"0.1","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH1",-0.195,0.719929642603808,-0.2,0.72,"-0.2","0.72","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH2",-0.448,0.744299425734336,-0.4,0.74,"-0.4","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH3",0.221,0.898281463205353,0.2,0.9,"0.2","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH4",-0.0311,0.986199567380711,0,0.99,"-0.0","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH5",0.117,0.955083313898527,0.1,0.96,"0.1","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
