"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"GMDS",-0.151,0.802001498156491,-0.2,0.8,"-0.2","0.80","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GMEB1",-0.067,0.812360084640668,-0.1,0.81,"-0.1","0.81","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GMEB2",-0.225,0.609962741537391,-0.2,0.61,"-0.2","0.61","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GMFB",-0.934,0.000373765454158764,-0.9,0,"-0.9","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GMNN",0.415,0.507753813574066,0.4,0.51,"0.4","0.51","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GMPPA",-0.716,0.126698429409565,-0.7,0.13,"-0.7","0.13","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GMPPB",-0.328,0.313699676174548,-0.3,0.31,"-0.3","0.31","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GMPR",0.0543,0.949558973227615,0.1,0.95,"0.1","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GMPR2",-0.353,0.577908061783602,-0.4,0.58,"-0.4","0.58","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GMPS",-0.39,0.244133142277497,-0.4,0.24,"-0.4","0.24","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNA11",-0.181,0.734347360901159,-0.2,0.73,"-0.2","0.73","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNA12",0.0235,0.992403443049249,0,0.99,"0.0","0.99","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"GNA13",-0.652,0.162417669226701,-0.7,0.16,"-0.7","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNAI1",-0.626,0.094096403731372,-0.6,0.09,"-0.6","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNAI2",-0.392,0.271666729767016,-0.4,0.27,"-0.4","0.27","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNAI3",-0.673,0.120041080251327,-0.7,0.12,"-0.7","0.12","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNAQ",-0.282,0.578423142129754,-0.3,0.58,"-0.3","0.58","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNAS",-0.295,0.389559955704823,-0.3,0.39,"-0.3","0.39","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNB1",-0.361,0.318688096844019,-0.4,0.32,"-0.4","0.32","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNB1L",-0.055,0.907548227079977,-0.1,0.91,"-0.1","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNB4",-0.71,0.102591262121846,-0.7,0.1,"-0.7","0.10","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNE",-0.435,0.219773994125047,-0.4,0.22,"-0.4","0.22","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNG12",-0.463,0.280553965194083,-0.5,0.28,"-0.5","0.28","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNG4",0.822,0.518143282587908,0.8,0.52,"0.8","0.52","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"GNG7",0.372,0.612572744336107,0.4,0.61,"0.4","0.61","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNL1",-0.171,0.632201044166211,-0.2,0.63,"-0.2","0.63","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNL2",0.327,0.356787354514352,0.3,0.36,"0.3","0.36","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNL3",0.737,0.0115623515693882,0.7,0.01,"0.7","0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GNL3L",0.222,0.257946008638213,0.2,0.26,"0.2","0.26","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNPAT",0.456,0.0614035406454695,0.5,0.06,"0.5","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNPDA1",-0.541,0.477482660706072,-0.5,0.48,"-0.5","0.48","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNPDA2",-0.137,0.881803470444325,-0.1,0.88,"-0.1","0.88","NS","Present_3of3","Present_3of3","Present vs Present",NA
