"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"AURKA",0.0445,0.899812513667224,0,0.9,"0.0","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AURKAIP1",0.543,0.56255639873684,0.5,0.56,"0.5","0.56","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"AURKB",0.787,0.0319184400826048,0.8,0.03,"0.8","0.03","Up","Present_3of3","Present_3of3","Present vs Present",NA
"AUTS2",-0.431,0.358172272166849,-0.4,0.36,"-0.4","0.36","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AVEN",-0.947,0.168915375514714,-0.9,0.17,"-0.9","0.17","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AVL9",-0.0918,0.725724833636117,-0.1,0.73,"-0.1","0.73","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AXIN1",-0.464,0.236631745052599,-0.5,0.24,"-0.5","0.24","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AZI2",-1.39,0.00143985687787659,-1.4,0,"-1.4","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"B3GALT6",0.657,0.0213740744083502,0.7,0.02,"0.7","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"B3GAT3",0.677,0.0170200132924648,0.7,0.02,"0.7","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"B3GLCT",0.515,0.145610570351374,0.5,0.15,"0.5","0.15","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B3GNT2",0.0369,0.954616269162531,0,0.95,"0.0","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B4GALT1",-1.3,0.00417595875368619,-1.3,0,"-1.3","<0.01","Down","Present_3of3","MAR_1of3","Present vs MAR",NA
"B4GALT3",-0.119,0.777106767364464,-0.1,0.78,"-0.1","0.78","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B4GALT4",-0.914,NA,-0.9,NA,"-0.9",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"B4GALT7",0.671,0.0763131431164254,0.7,0.08,"0.7","0.08","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B4GAT1",0.655,0.0519999633431641,0.7,0.05,"0.7","0.05","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BABAM1",0.348,0.414857362812036,0.3,0.41,"0.3","0.41","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BABAM2",-0.353,0.456854776028471,-0.4,0.46,"-0.4","0.46","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BACH1",-0.91,0.0996189437182052,-0.9,0.1,"-0.9","0.10","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BACH2",-0.133,0.91507205776659,-0.1,0.92,"-0.1","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BAD",-1.64,0.00711027644156392,-1.6,0.01,"-1.6","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BAG1",-0.182,0.645269243156716,-0.2,0.65,"-0.2","0.65","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BAG2",-0.0295,0.946172775058375,0,0.95,"-0.0","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
