"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"CAAP1",-0.291,0.999003043777844,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAB39",-0.00494,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CABLES1",-0.284,0.999003043777844,-0.3,1,"-0.3","1.00","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"CACHD1",0.133,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CACNA2D1",-0.253,0.999003043777844,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CACNA2D2",-0.119,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CACNB3",-0.0416,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CACTIN",0.00211,0.999003043777844,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CACUL1",-0.012,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CACYBP",-0.112,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAD",0.0778,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CADM1",-0.383,0.999003043777844,-0.4,1,"-0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CADM4",-0.367,0.999003043777844,-0.4,1,"-0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CALCB",0.245,0.999003043777844,0.2,1,"0.2","1.00","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"CALCOCO1",-0.00308,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CALD1",-0.292,0.999003043777844,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CALR",-0.542,0.999003043777844,-0.5,1,"-0.5","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CALU",-0.374,0.999003043777844,-0.4,1,"-0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CALY",-3.7,0.764209203555623,-3.7,0.76,"-3.7","0.76","NS","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CAMK1",-0.0459,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMK1D",0.0664,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMK2D",0.062,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMK2G",0.0333,0.999003043777844,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMKK2",-0.0434,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMLG",-0.122,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMSAP1",-0.0469,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMSAP2",-0.175,0.999003043777844,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMSAP3",-0.217,0.999003043777844,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAND1",0.114,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAND2",0.188,0.999003043777844,0.2,1,"0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CANT1",-0.193,0.999003043777844,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CANX",-0.29,0.999003043777844,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAP1",-0.0569,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAP2",-0.0511,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPG",-0.208,0.999003043777844,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPN1",-0.334,0.999003043777844,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPN2",-0.0714,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPN7",0.122,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPNS1",-0.365,0.999003043777844,-0.4,1,"-0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPRIN1",-0.659,0.999003043777844,-0.7,1,"-0.7","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPZA1",0.104,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPZA2",-0.0423,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPZB",-0.000993,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARD19",-0.2,0.999003043777844,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARHSP1",-0.574,0.999003043777844,-0.6,1,"-0.6","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARM1",-0.0598,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARMIL1",-0.255,0.999003043777844,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARNMT1",-0.18,0.999003043777844,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARS1",-0.0344,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CARS2",-0.0199,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASC3",-0.364,0.999003043777844,-0.4,1,"-0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASK",0.0076,0.999003043777844,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASKIN1",-0.143,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASKIN2",-0.143,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASP10",0.0413,0.999003043777844,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASP14",-1.75,0.999003043777844,-1.8,1,"-1.8","1.00","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"CASP2",-0.247,0.999003043777844,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASP3",-0.0887,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASP6",-0.029,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASP7",-0.0787,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASP8AP2",-0.258,0.999003043777844,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASP9",0.112,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAST",-0.645,0.999003043777844,-0.6,1,"-0.6","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASZ1",0.0015,0.999003043777844,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAV1",-0.685,0.528277490136894,-0.7,0.53,"-0.7","0.53","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CAVIN1",-0.232,0.999003043777844,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CBARP",-0.0463,0.999003043777844,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CBFA2T2",-0.442,0.999003043777844,-0.4,1,"-0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CBFB",-0.188,0.999003043777844,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CBL",-0.135,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CBLB",-0.0536,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CBLL1",-0.263,0.999003043777844,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CBR1",-0.277,0.999003043777844,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CBR3",0.0795,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CBR4",0.0961,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
