"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"RAB6A",-0.988,0.192,-1,0.19,"-1.0","0.19","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RAB6B",-1.02,0.161,-1,0.16,"-1.0","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RAB7A",-1.31,0.173,-1.3,0.17,"-1.3","0.17","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RAB8A",-1.06,0.176,-1.1,0.18,"-1.1","0.18","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RAB8B",0.162,0.466,0.2,0.47,"0.2","0.47","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RAB9A",-0.788,0.0745,-0.8,0.07,"-0.8","0.07","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RAB9B",-0.559,0.16,-0.6,0.16,"-0.6","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RABEP1",-0.904,0.126,-0.9,0.13,"-0.9","0.13","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RABEPK",-0.808,0.0876,-0.8,0.09,"-0.8","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RABGAP1",-0.626,0.211,-0.6,0.21,"-0.6","0.21","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RABGEF1",-0.0645,0.505,-0.1,0.5,"-0.1","0.50","NS","Present_3of3","Present_3of3","Present vs Present",NA
"RABGGTA",-1.24,0.132,-1.2,0.13,"-1.2","0.13","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
