"Gene","Acute Veh","Acute 100uM","Acute 200uM","Recvr Veh","Recvr 100uM","Recvr 200uM"
"OXLD1",0.679,-1.08,-3.03,2.17,3.81,2.78
"PABIR1",1.87,0.801,1.22,-3.12,-2.25,0.671
"PAIP2",2.74,-4.02,-3.14,1.86,1.27,1.16
"PALB2",-2.82,0.731,3.5,0.391,1.47,-1.73
"PAN2",-5.21,0.538,0.847,0.498,0.72,0.498
"PAX6",1.57,-0.0126,0.569,0.27,-0.352,-0.81
"PCBP3",1,0.934,0.287,0.636,-0.519,-1.61
"PCBP4",-2.01,1.28,-2.8,-3.01,2.34,2.43
"PCDHGA11",0.417,0.575,1.18,3.78,-1.11,-0.872
"PCGF2",-1.42,-3.5,-0.173,1.01,0.707,0.868
"PCGF3",0.239,0.196,0.403,0.00688,-0.01,-1.17
"PCLAF",0.907,-0.727,-0.958,0.481,0.339,0.754
"PDIK1L",-0.742,-2.1,-0.876,0.77,1.02,-0.54
"PDK2",-2.65,-0.0195,0.222,0.513,0.511,0.427
"PDLIM2",1.73,-0.379,-0.284,0.854,0.577,1.06
"PDS5A",0.0424,-0.668,0.436,-0.0449,0.0121,-0.0405
"PDSS1",-3.71,-0.153,0.218,0.89,0.638,0.644
"PEX11B",0.656,0.656,1.01,-0.433,-0.0722,-0.841
"PEX13",-3.01,-0.147,1.37,1.49,1.54,-2.74
"PEX19",1.5,-0.206,0.137,0.977,2.28,-2.34
"PGGT1B",-2.34,1.44,2.54,-1.7,-2.83,-0.749
"PHAF1",-3.47,1.17,1.75,-2.78,1.5,-3.63
"PHC3",-0.198,-0.943,-0.258,0.521,0.264,0.237
"PHF8",-0.644,-1.14,-0.429,0.531,0.536,0.687
"PHPT1",1.69,1.18,0.727,-0.437,-0.589,-0.834
"PHRF1",-0.0158,-1.05,-0.887,0.642,0.602,0.764
"PI4K2A",0.132,0.658,0.748,-0.4,-0.405,-0.489
"PIAS1",-0.824,-0.394,0.333,0.243,0.21,-0.0132
"PIAS3",-3.27,-0.677,0.899,0.524,0.785,1.91
"PIDD1",-1.55,-3.11,-2.05,-1.85,3.12,3.29
"PIGX",-1.15,0.75,2.45,3.07,-2.02,-1.61
"PIPSL",0.89,1.45,1.82,-2.89,-2.08,1.45
"PJA2",2.01,1.22,0.496,0.398,0.0683,-1.35
"PKNOX2",4.75,4.2,4.72,-3.88,-2.96,-3.39
"PLAGL1",0.0825,-3.36,0.969,0.764,-0.0478,0.681
"PLD3",1.15,0.764,1.49,-0.562,-0.733,-0.683
"PLEC",-0.698,-0.706,-0.55,0.341,0.374,0.376
"PLEKHA3",-2.34,2.09,3.52,1.91,3.2,-1.56
"PLEKHB2",1.95,1.96,1.91,-3.05,-2.14,-3.01
"PLEKHF1",0.223,0.0933,0.336,-0.024,-2.32,0.432
"PLEKHG1",-2.03,-1.84,-1.7,1.81,1.57,1.77
"PLEKHH3",-0.638,0.938,2.27,-3.57,2.92,-1.34
"PLEKHJ1",-2.4,-4.02,-4.57,1.85,1.86,2.3
"PLPP3",0.308,1.18,1.38,-0.486,-0.779,-0.544
"PMM1",0.876,0.202,-0.139,0.533,0.0475,0.179
"PNRC1",0.68,-4.68,1.59,2.86,0.23,0.382
"PODXL",2.05,1.09,2.07,0.0493,0.179,0.491
"PODXL2",0.813,-0.194,1.04,0.343,0.081,0.222
"POLD4",2.63,1.32,-7.24,1.45,1.55,2.44
"POLR3K",1.7,-0.365,-0.16,0.821,-0.466,0.576
"POLRMT",-1.27,-0.404,0.19,0.791,0.571,0.279
"POM121",0.299,-0.517,-0.239,1.26,0.608,0.311
"PRELID3B",1.06,0.407,-0.556,-0.799,-0.962,-0.0337
"PRKACG",-4.06,1.13,1.07,1.35,0.959,1.35
"PRKAR1A",0.367,1.01,0.855,-0.553,-0.456,-0.0694
"PRKAR1B",1.06,0.965,0.778,-0.706,-0.541,-0.166
"PROS1",2.71,1.92,3.99,-1.1,-0.818,-1.07
"PRPH",2.8,1.27,2.5,-3.82,2.21,-5.02
"PTGES3",1.71,0.598,0.415,-0.525,-0.354,-0.517
"PTGS2",3.82,3.4,3.7,-2.62,-1.07,-0.407
"PTMS",1.59,-0.584,0.264,-1.07,0.0549,0.00349
"PTOV1",-2.84,0.894,1.27,1.05,1.01,1.06
"PTPN14",-4.8,-0.0763,0.368,1,0.753,1.06
"PTPRS",1.46,0.915,1.45,-0.246,-0.452,-0.65
"PTRHD1",0.89,0.27,-0.195,0.163,0.378,0.215
"PTTG1",1.07,-0.437,-0.693,0.524,1.13,1.59
"PVALB",1.65,-3.8,0.9,1.1,0.94,1.43
"PXN",1.85,0.105,0.162,0.622,-0.415,-0.69
"PYGM",1.27,-5.11,-4.53,1.24,1.29,1.46
"PZP",2.77,2.32,3.36,-1.95,-2.42,-2.71
"Q6ZSR9",-0.102,-0.479,-0.898,0.402,0.412,0.865
"QPCT",2.88,1.51,2.4,1.55,-2.16,-2.48
"RAB29",0.492,0.633,0.619,0.57,-5.3,0.695
"RABAC1",-2.25,5.98,6.29,-2.91,-1.95,4.08
"RAMAC",-0.632,-1.4,-0.715,1.1,0.943,1.42
"RAP1BL",2.56,2.16,1.19,-2.61,2.19,-2.15
"RARB",-0.511,-2.17,-1.75,0.893,1.02,1.01
"RBAK",1.15,0.602,1.02,-2.1,3.41,-1.92
"RBL1",0.0223,-2.34,1.11,0.122,0.132,0.0907
"RBM18",-0.595,-2.84,-2.39,0.777,0.838,1.23
"RBM38",-1.99,-3.33,2.23,1.19,1.44,1.21
"RCE1",1.38,-0.325,0.0277,0.739,1.01,-3.8
"RCHY1",2.85,0.624,0.502,-0.192,-1.36,-0.521
"RELL1",0.864,1.19,0.726,-0.162,-0.59,-0.199
"RFESD",1.81,1.06,1.53,-2.18,-1.79,2.55
"RHOU",0.995,1.01,1.65,-3.27,-2.87,-2.99
"RIF1",-0.304,-0.748,-0.497,0.523,0.4,0.432
"RIT1",1.2,0.303,0.16,-0.674,-0.855,-0.889
"RNASE4",1.99,0.765,1.85,0.433,-3.45,0.453
"RNF121",-2.84,0.0912,0.377,1.5,1.37,-2.8
"RNF141",3.45,1.48,2.2,-2.74,-2.5,3.34
"RNF149",2.1,1.7,2.26,-1.11,-1.49,-1.31
"RNF166",1.98,-0.104,0.493,0.512,0.123,1.23
"RNF169",-0.444,-1.19,-0.715,0.892,0.794,0.838
"RNF187",1.54,-0.242,-0.72,0.198,-0.156,0.118
"RNF19A",2.2,1.95,1.8,-1.32,-2.63,1.33
"RNF7",2.3,0.834,0.942,-0.0708,-1.15,-0.962
"RPAIN",1.38,0.492,0.414,0.188,-0.0198,-2.55
"RPE",1.86,1.53,1.64,-0.334,-0.663,-1.1
"RPS6KA4",-4.04,0.0216,0.74,0.327,0.376,0.52
"RTKN",-2.74,0.911,1.17,1.09,0.904,0.882
"RTN4RL2",0.215,-0.232,1.07,-0.746,-0.431,-0.344
"RUFY2",-0.661,0.135,0.828,0.785,0.541,0.895
"SAPCD2",0.31,-0.726,-0.777,0.672,0.556,0.72
"SBSN",4.23,-4.15,-3.71,-2.75,1.27,2.26
"SCAI",-0.258,-0.974,-0.331,0.302,0.401,0.177
"SCAND1",1.09,-0.367,-0.792,0.419,-0.18,0.996
"SCML1",0.96,-0.0164,0.178,-0.748,-0.477,0.379
"SCPEP1",-0.318,-0.682,-0.0428,0.498,0.47,0.656
"SDC4",3.08,1.32,2.14,1.02,1.11,-2.89
"SDCBP",1.23,0.822,1.5,-0.609,-0.489,-0.571
"SEC14L2",2.97,-0.797,0.751,-2.32,2.11,-1.26
"SEC22A",-4.35,1.09,1.47,1.04,1.18,-4.3
"SELENOF",0.035,-0.725,1.04,0.348,0.0971,-0.0554
"SEMA3C",0.331,0.717,0.902,-0.752,-0.413,-0.47
"SEPTIN9",0.125,-0.382,-0.707,0.302,0.235,0.544
"SERINC1",0.451,1.39,1.24,-1.04,-0.451,-0.587
"SERINC3",0.855,1.39,1.47,-0.378,-0.445,-0.601
"SERPIND1",-0.814,4.79,5.21,-1.13,-1.17,-1.89
"SERPINF2",2.05,1.78,1.79,-2.45,-2.06,-1.39
"SETD5",-0.387,-1.22,-1.01,1.06,0.854,0.75
"SFMBT1",-2.09,1.72,1.6,1.93,2.02,-4.67
"SFN",-1.41,-2.9,-2.94,3.5,3.7,2.83
"SFT2D2",3.63,3.53,3.19,-3.28,-1.99,3.32
"SFXN4",-1.78,-2.84,1.98,0.499,0.641,0.419
"SGTB",1.71,0.308,0.633,0.533,0.296,0.312
"SH2D4A",0.53,0.97,3.56,-1.25,-1.18,3.54
"SHCBP1",-1.93,1.21,0.89,-0.011,0.0411,-1.17
"SHROOM3",-5.69,-0.2,-0.766,1.04,1.43,1.84
"SIRT3",-0.849,-0.0107,0.264,0.75,0.585,-0.0653
"SIVA1",1.16,0.426,-3.24,1.21,1.35,2.02
"SLC11A2",-0.607,0.631,0.962,0.0565,0.157,-0.982
"SLC26A11",1.42,0.849,1.7,-6.29,1.76,1.91
"SLC38A3",-0.635,-1.4,-1.91,2.98,-0.953,-0.827
"SLC39A10",-0.729,-1.87,0.331,0.77,0.457,0.79
"SLC39A7",-1.31,2.47,3.26,-2.36,3.22,3.44
"SLC46A1",3.08,-0.282,1.7,-2.3,2.44,-1.36
"SLC46A3",-3.71,2.19,2.41,-4.07,1.65,-4.12
"SLC49A4",-1.25,1.41,2.72,-1.43,-2.51,-1.51
"SLIT2",1.71,0.802,1.48,-0.424,-0.55,-0.914
"SMC1B",3.92,2.84,4,-1.45,-2.13,-2.81
"SMIM11",2.74,0.304,0.369,0.484,-0.248,-0.388
"SMOC1",1.06,-0.129,0.516,0.338,0.466,0.356
"SMYD3",-3.78,0.0807,0.64,0.468,0.62,0.493
"SNX24",0.81,0.593,0.0375,-0.574,-0.348,0.184
"SOX5",-1.64,-3.35,-3.01,0.37,2.08,0.414
"SPC24",-0.356,-1.04,-0.528,0.353,0.56,0.532
"SPG7",-0.672,0.879,1.64,3.28,-1.9,-2.17
"SPICE1",-0.78,-0.749,-0.81,0.724,0.806,1.19
"SPINT2",1.56,1.46,1.27,-0.221,-0.486,-0.501
"SPP2",4.41,2.74,4.05,-3.29,-2.4,-2.17
"SPRING1",1.78,-0.0546,0.976,2.38,0.985,-2.57
"SPRY2",3.81,4.74,4.32,-3.62,-3.44,-6.25
"SPTBN1",0.138,-0.426,-0.648,0.214,0.306,0.608
"SQOR",-0.261,3.37,4.15,-0.73,-0.844,-2.37
"SREBF2",1.17,-4.47,-0.175,0.731,0.623,0.69
"SRGAP1",-1.17,-3.48,-3.55,1.42,1.42,1.72
"SRSF9",-0.132,-0.863,0.297,0.754,0.397,0.452
"SS18",-4.03,-2.68,-3.15,2.65,2.4,3
"STK32C",-0.872,0.264,0.551,0.436,0.272,0.501
"STOML1",-1.93,1.16,1.4,2.02,-3.02,0.878
"STRADA",-3.72,0.00337,0.959,1.69,1.47,1.44
"SULT1A1",-4.76,-5.02,-4.01,2.11,2.71,2.6
"SUPV3L1",-0.965,-0.167,0.618,0.499,0.333,0.074
"SUSD5",1.48,-0.41,0.47,2.2,2.72,-4.28
"SV2A",-1.45,1.29,2.89,-1.32,-2.65,-3.11
"SWI5",0.91,-0.295,-2.79,0.632,0.29,0.758
"TAF13",0.505,-3.49,-0.0355,0.865,0.852,0.649
"TAF1C",0.677,-0.37,0.373,-0.209,0.354,0.126
"TAF4B",-1.49,-2.4,0.0581,0.722,0.845,0.379
"TAGLN",5.25,-2.28,-0.255,-1.68,-0.99,4.06
"TANC1",-5.6,0.0473,0.379,1.29,1.09,1.51
"TANGO2",4.02,3.03,2.86,2.67,2.8,-4.34
"TAX1BP1",0.517,1.51,0.528,-0.165,-0.331,-0.127
"TBC1D25",-2.36,0.637,1.58,-3.35,1.75,1.84
"TBC1D30",-4.54,-3.73,2.54,0.703,2.22,0.721
"TCEAL8",1.61,-0.0243,-4.03,1.37,1.22,1.76
"TEAD3",-1.86,-2.47,-2.07,1.33,-3.12,2.6
"TEFM",-2.79,-0.101,1.25,0.594,0.51,0.366
"TET2",0.57,-1.55,-0.308,-0.752,3.01,1.28
"TEX9",1.67,0.217,0.905,0.0574,0.442,0.348
"TFB2M",-0.59,-0.176,0.368,0.479,0.396,0.279
"TFIP11",-0.496,-0.645,-0.143,0.378,0.465,0.197
"TGDS",4.83,2.96,3.49,-2.18,3.13,-3.04
"TGFB1I1",1.36,-0.259,-0.302,0.694,-0.408,-0.185
"TGOLN2",1.73,0.445,1.25,-0.074,-0.468,0.116
"THBS1",2.24,1.77,2.54,-1.04,-1.12,-1.3
"THRB",-0.523,-2.04,-3.15,1.71,-2.03,1.34
"TIFA",1.43,0.773,2.56,2.09,1.89,-1.88
"TIMELESS",-0.909,-0.687,-0.183,0.33,0.487,0.371
"TIMM23",-3.41,1.59,1.58,1.94,-3.79,2.01
"TIMP3",3.02,2.76,3,-2.12,-2.2,-1.49
"TK2",-4.08,0.26,0.406,0.646,0.591,0.447
"TM2D3",2.15,-0.836,-1.06,1.73,1.68,-3.57
"TMCO1",0.261,0.383,1.02,-0.0127,-0.209,-0.469
"TMEFF1",2.09,1.06,1.53,2.7,-2.65,-1.87
"TMEM104",-2.18,1.02,1.4,-4.6,0.842,0.618
"TMEM11",-3.22,-0.0683,0.51,0.453,0.482,0.326
"TMEM120B",-0.532,3.13,2.58,-2.32,-1.69,-0.994
"TMEM123",2.48,1.6,2.44,-0.116,-5.76,-0.351
"TMEM132A",2.01,1.75,2.42,1.57,1.61,-3.2
"TMEM183A",-1.97,-2.67,-3.18,-1.99,3.24,3.01
"TMEM231",0.257,-0.12,0.821,0.186,0.464,-1.48
"TMEM248",4.18,3.11,3.94,-2.19,-4.42,-2.54
"TMEM258",1.44,0.128,0.635,-0.789,0.356,-0.88
"TMEM35B",-1.8,2.71,-2.73,-2.01,2.58,3.32
"TMEM38B",-4.73,1.69,-3.23,3.55,1.83,-1.92
"TMEM51",2.62,1.21,1.9,0.367,-2.87,3.31
"TMEM59",2.45,3.22,2.93,-1.7,-1.58,-1.71
"TMEM59L",3.82,3.89,3.74,-2.79,-3.22,-2.78
"TMSB10",3.88,-2.89,-1.82,3.34,3.01,-1.77
"TNFRSF10B",2.07,1.22,1.89,-0.79,-0.863,-0.795
"TNFRSF10D",2.3,1.2,0.966,-2.62,-1.64,2.29
"TNFSF9",0.355,0.739,2.85,0.116,-1.88,-0.306
"TOMM40L",3,0.67,2.23,-3.26,-2.83,-2.1
"TOMM7",1.67,-0.378,0.468,0.405,0.373,0.515
"TP53I13",3.88,-1.34,-1.59,2.05,-2.08,1.98
"TRIB3",-1.96,2.22,2.86,-3.01,-4.43,-2.19
"TRIM21",-1.22,-2.18,2.74,-1.27,3.6,-1.78
"TRIM23",-2.18,4.07,5.14,-3.78,-2.51,4.2
"TSC22D2",2.47,1.8,1.11,-1.77,-0.196,-0.852
"TSKU",3.09,0.982,1.89,0.489,0.693,-3.73
"TSPAN10",1.31,1.03,1.46,-0.131,-0.281,0.106
"TSPAN13",0.778,1.19,1.71,-0.0332,-0.174,-2.2
"TSPAN14",0.904,0.37,-0.00053,1.89,0.494,-3.46
"TSPAN3",0.421,0.556,0.78,-0.224,-0.332,-0.566
"TSPAN31",0.247,0.505,1.4,-0.633,-0.52,0.551
"TSPAN6",0.501,0.488,0.987,-0.0657,-0.0158,-1.11
"TTC13",-3.68,0.275,0.772,0.622,0.367,0.399
"TTC3",0.196,-0.525,-0.115,0.913,0.54,0.854
"TTC9",1.59,-0.282,-0.791,0.429,0.274,0.648
"TUBA4A",-6.41,4.7,2.94,0.574,-8.66,2.29
"TYW1",2.74,-0.0537,0.296,0.909,0.804,0.919
"UBAP2",0.908,-0.178,-0.528,0.107,0.0488,0.433
"UBE2G2",0.0433,-0.443,0.0658,0.701,0.692,-0.0203
"UBE2T",0.41,-0.347,-0.754,0.292,0.255,0.776
"UBE3D",-1.51,-0.35,1.28,2.64,-1.86,-3.26
"UBL3",2.85,3.62,3.7,-0.936,-1.96,-2.9
"UBN1",-0.794,-1.09,-0.632,0.999,0.497,0.769
"UBN2",-0.443,-0.639,-0.149,0.778,0.51,0.552
"UFC1",1.08,-0.0372,-0.366,0.0596,-0.0938,0.35
"UNC5B",1.7,1.52,1.68,-0.262,-0.347,-3.86
"UROS",-2.24,0.443,0.87,0.812,0.745,-2.94
"USP1",-0.438,-0.377,-0.422,0.366,0.33,0.677
"USP32",-3.01,0.619,1.79,0.712,-2.04,0.455
"USP46",-3.59,2.45,2.01,2.14,-4.4,-4.49
"USP6NL",-0.0167,-2.9,-1.1,1.29,0.724,1.12
"UTP20",-1.61,-1.06,-0.0496,0.5,0.548,0.371
"UVRAG",3.82,-0.00989,2.33,-3.95,-4.28,0.32
"VANGL2",-2.81,0.393,0.664,0.6,0.442,0.0466
"VEZT",-1.6,-3.78,1.75,0.665,0.708,0.714
"VPS37B",0.554,-0.164,-0.333,0.481,0.311,0.693
"VTN",1.82,1.49,3.24,-1.75,-1.82,-0.48
"WASF2",0.557,-0.364,-0.557,0.273,0.227,0.542
"WDR35",-4.91,-4.1,-4.02,1.93,2.17,2.14
"WNK1",-0.107,-0.0543,-0.734,0.484,0.32,0.472
"WNT5A",-2.28,1.46,2.32,0.43,0.533,-3.45
"WWC1",-3.53,0.924,-5.39,1.62,1.27,1.81
"YAE1",1.77,-1.09,2.94,3.04,-1.05,-2.44
"YIPF4",1.07,1.36,1.64,0.332,0.642,-5.56
"ZBED3",1.51,-0.394,-0.795,0.513,0.361,1.05
"ZBED5",-2.01,-4.43,1.02,0.975,0.945,0.805
"ZBTB39",0.368,-3.81,0.0755,0.861,0.513,0.689
"ZBTB4",-4.59,-5,1.15,1.21,1.51,1.45
"ZBTB5",-0.199,-0.489,-0.11,-1.71,0.675,0.779
"ZCCHC24",0.568,-0.549,-0.0331,0.763,-0.16,-0.531
"ZCCHC4",-3.35,-0.249,0.291,0.559,0.505,0.383
"ZDHHC13",-6.41,2.19,1.76,1.71,1.75,-6.02
"ZDHHC14",2.25,1.75,1.69,-1.16,2.74,-1.43
"ZDHHC18",-5.06,1.32,1.17,0.45,0.403,-0.0157
"ZDHHC20",1.97,1.7,1.75,-2.75,-1.86,-2.72
"ZDHHC9",-1.74,0.767,2.24,2.42,-1.07,-1.6
"ZFAND2B",2.25,-0.0268,0.498,0.287,-0.807,-0.249
"ZFAND5",1.09,-0.482,-1.24,0.968,0.652,0.82
"ZFAND6",1.9,0.0505,-0.352,1.11,-0.18,-0.0242
"ZFP3",2.3,0.206,1.52,2.13,1.93,-3.14
"ZNF100",-1.71,0.162,0.789,-2.7,-1.79,2.62
"ZNF16",1.37,-0.288,0.671,-0.11,-3.02,0.33
"ZNF250",0.808,0.742,-0.636,1.09,1.66,-2.99
"ZNF319",2.04,0.804,1.43,0.375,-3,-3.42
"ZNF324",-1.14,8.22,8.36,-3.22,-2.37,-1.41
"ZNF335",1.15,0.204,0.871,-0.137,-0.0139,-1.54
"ZNF428",2.55,0.588,1.26,-0.0214,-0.433,-2.44
"ZNF460",0.706,1.23,1.12,-2.67,-1.35,-1.49
"ZNF467",3.18,-3.51,2.41,-3.52,-0.222,-1.56
"ZNF496",-2.17,-2.35,-1.86,2.22,0.872,1.29
"ZNF513",0.836,0.124,0.239,-1.92,-2.57,0.807
"ZNF521",1.03,0.659,0.871,-0.0021,-2.55,-0.124
"ZNF597",1.9,-0.236,-4.07,0.417,0.197,0.29
"ZNF616",1.53,-1.69,-0.175,0.582,-1.5,0.212
"ZNF627",0.884,-0.048,1.5,-4.55,1.17,0.372
"ZNF697",1.48,0.574,0.743,-0.21,-2.44,-0.546
"ZNF7",0.276,-0.173,0.296,1.1,-1.86,-0.808
"ZNF71",1.27,-0.069,0.789,-3.81,2.1,-2.13
"ZNF714",-1.16,-3.29,-2.11,2.88,-2.73,-3.35
"ZNF721",1.31,0.83,1.8,-3.31,-2.53,-1.66
"ZNF724",2.81,0.0245,0.624,2.39,-3.06,-2.8
"ZNF747",-2.41,1.87,-3.29,2.16,2.24,-3.49
"ZNF799",-0.0842,0.456,-1.85,3.43,4.14,-1.23
"ZNHIT3",2.97,0.651,1.02,1.89,1.5,-4.85
"ZNRD2",2.48,0.795,1.18,0.278,-0.414,0.763
"ZSCAN5A",2.89,-4.4,2.4,1.54,1.41,-3.67
"ZXDC",-3.04,-1.46,-1.03,0.99,1.12,0.838
"AAAS",-1.23,-0.334,-0.219,0.352,0.413,0.352
"AAMDC",2.02,0.514,0.389,0.101,-0.484,-0.187
"AAMP",1.32,-0.035,0.128,-0.236,-0.15,-0.222
"AARS2",-0.812,0.0632,-0.169,0.235,0.209,-0.0538
"ABCB1",-2.43,0.652,0.989,0.0737,0.0577,0.289
"ABCB7",-0.752,-0.252,0.665,0.316,0.0974,-0.175
"ABCC10",0.88,-0.222,-0.403,0.205,0.113,-0.0961
"ABCC4",-1.81,-0.536,0.115,0.557,0.596,0.655
"ABCD4",-0.143,-2.49,-0.846,0.84,1.06,0.858
"ABHD12",-0.8,0.197,0.00929,0.3,0.219,0.233
"ABHD16A",-3.43,0.17,0.287,0.569,0.486,0.607
"ABHD17B",0.591,0.5,0.993,-0.308,-0.29,-0.241
"ABITRAM",0.841,0.329,0.171,-0.246,-0.204,-0.599
"ABL1",0.302,-0.608,-0.455,0.603,0.554,0.819
"ABL2",-0.0746,-0.585,-0.458,0.638,0.323,0.695
"ABLIM1",0.404,-0.843,-0.734,0.473,0.388,0.966
"ABR",-4.93,0.62,0.755,0.452,0.383,0.372
"ABRACL",0.936,-0.238,-0.766,0.43,0.156,-0.0554
"ACAA2",1.57,-0.381,0.933,-0.116,-0.211,-0.46
"ACAD10",-0.134,-2.02,-0.305,0.767,0.486,0.446
"ACAD9",-1.29,-0.0428,0.28,0.259,0.25,-0.143
"ACADM",1.81,-0.325,0.868,-0.194,-0.233,-0.387
"ACADS",1.35,-1.08,0.537,0.316,0.193,0.0745
"ACAP2",-4.2,0.465,0.703,0.441,0.437,0.495
"ACAT2",2.96,0.354,0.85,-0.388,-0.719,-0.836
"ACBD5",0.476,-0.782,0.179,0.309,0.111,0.563
"ACD",1.75,-0.983,-0.365,0.07,0.131,-0.0278
"ACIN1",0.481,-1.25,-0.51,0.579,0.591,0.509
"ACOT2",1.02,0.686,0.521,-0.229,-0.342,-0.15
"ACOT8",0.209,0.017,0.567,-0.0245,-0.14,-0.463
"ACOT9",-0.965,0.0857,0.506,0.332,0.262,-0.0285
"ACOX1",0.895,-0.239,0.873,0.0437,0.0272,-0.196
"ACOX3",-3.75,0.165,0.166,0.653,0.62,0.344
"ACP1",1.4,0.122,-0.00893,0.0723,-0.139,0.0909
"ACP2",1.34,-0.039,1.26,-0.153,-0.361,-0.295
"ACP6",1.59,-0.46,-0.494,-0.243,-0.135,-0.244
"ACSF2",1.07,-0.496,0.11,-0.137,-0.136,-0.344
"ACSS1",0.845,-0.305,-0.0365,0.22,-0.0128,-0.202
"ACSS3",-3.89,0.0703,0.638,0.538,0.385,0.355
"ACTN4",0.736,0.638,0.0776,-0.267,-0.288,-0.186
"ACVR1",2.9,2.46,3.53,-1.97,-2.62,-0.823
"ACVR1B",0.328,3.35,4.3,-2.4,-0.803,-0.556
"ACVR2A",-0.26,2.23,3.57,-0.17,-1.52,-2.03
"ACVR2B",-0.824,0.735,0.649,-0.00615,-0.221,0.185
"ACYP1",1.8,-0.242,-0.236,-0.154,-0.22,0.238
"ACYP2",1.76,0.0796,0.352,-0.468,-0.399,-0.218
"ADA",0.745,0.234,-0.0144,-0.263,-0.167,-0.348
"ADAM10",1.95,0.452,1.41,-0.371,-0.802,-0.737
"ADAM22",0.118,-0.715,0.575,0.347,0.104,-0.0736
"ADARB1",-0.576,-0.732,-0.128,0.374,0.378,-0.0111
"ADAT2",1.04,-0.0359,-0.296,0.361,-0.0664,-0.356
"ADD2",0.519,-0.664,-0.527,0.417,0.361,0.532
"ADGRE5",1.45,0.69,1.68,-0.97,-0.63,-0.283
"ADI1",1.93,-0.228,0.146,0.28,0.077,0.17
"ADIPOR1",4.07,3.73,4.19,-2.91,-1.81,-1.64
"ADISSP",1.15,0.205,0.133,-0.0483,-0.411,-0.389
"ADNP2",0.215,-0.79,-0.384,0.294,0.294,-0.0147
"ADO",1.23,-0.342,-0.183,0.113,-0.208,0.134
"ADRM1",0.869,0.284,0.406,-0.403,-0.292,-0.233
"AEBP2",1.48,-0.36,0.414,-0.114,-0.27,-0.31
"AFAP1",-0.721,-1,-0.158,0.755,0.529,0.726
"AFDN",-0.0886,-0.343,-0.448,0.439,0.344,0.596
"AFF1",0.0405,-0.901,-0.148,0.371,0.251,0.438
"AFF3",-2.53,-0.793,-0.0909,0.953,0.555,0.556
"AFF4",0.25,-1.14,-0.134,0.376,0.192,0.426
"AFM",-1.98,2.62,-1.27,-1.24,-1.76,-0.852
"AGAP1",-3.91,0.0467,1.49,0.266,0.411,0.321
"AGFG1",0.285,0.0583,-0.458,0.0351,0.0313,0.556
"AGPAT3",-2.03,-0.144,0.323,0.478,0.363,0.127
"AGPAT4",-3.32,-0.281,-0.528,0.863,0.719,0.282
"AGPAT5",-3.15,-0.833,1.45,2.74,1.42,2.54
"AGR2",6.53,-0.605,0.183,-1.35,-0.125,-0.476
"AHCTF1",0.406,-0.662,0.651,-0.156,-0.175,-0.136
"AHCYL2",0.906,-0.0115,-0.0363,-0.0987,-0.0336,0.228
"AHNAK",0.37,-1.55,-1.14,0.682,0.488,0.88
"AHNAK2",0.0239,-0.998,-0.887,0.57,0.517,0.805
"AIDA",1.3,0.0292,0.105,-0.342,-0.119,-0.142
"AIF1L",1.11,-0.391,-0.212,0.476,-0.056,0.318
"AIFM1",0.236,-0.084,0.8,0.062,-0.0839,-0.262
"AIG1",-2.12,-1.37,-3.02,1.44,1.06,0.737
"AIMP1",0.273,-0.399,-0.382,0.352,0.2,0.66
"AIP",0.964,0.129,-0.246,-0.0634,-0.333,-0.153
"AJUBA",0.466,-0.599,-0.186,0.395,-0.0377,0.439
"AK1",1.13,0.227,0.0236,-0.246,-0.303,0.075
"AK2",0.742,-0.338,-0.274,0.24,0.175,0.532
"AKAP10",0.833,-0.244,-0.896,0.207,0.492,0.482
"AKAP11",-1.05,0.703,0.013,0.224,0.256,0.363
"AKAP12",1.39,0.282,0.843,-0.611,-0.571,-0.217
"AKAP5",0.963,-0.0238,0.127,-0.499,-0.18,-0.0925
"AKAP8",0.73,-0.583,0.0313,0.366,-0.025,0.227
"AKR1A1",1.25,0.226,0.0275,-0.315,-0.235,-0.233
"AKR1B1",2.51,0.264,0.295,-0.369,-0.425,-0.852
"AKT1S1",0.997,-0.374,0.24,0.406,0.0691,0.405
"AKTIP",0.792,0.34,0.488,-0.699,-0.323,0.0399
"ALAD",0.934,0.312,-0.122,-0.0285,-0.385,-0.401
"ALAS1",0.0675,0.565,-1.55,0.408,0.767,1.14
"ALCAM",1.83,-0.376,1.07,0.0302,-0.457,-0.203
"ALDH1A1",4.06,-1.19,4.16,-1.33,-1.7,-0.994
"ALDH3A2",1.54,-0.069,0.978,-0.278,-0.313,-0.423
"ALDH4A1",1.53,0.209,0.605,-0.322,-0.583,-0.658
"ALDH7A1",2.3,-0.0744,0.49,-0.215,-0.236,-0.561
"ALG11",-1.97,0.18,0.878,0.627,0.2,-0.0604
"ALG2",-2.34,-0.645,-0.616,0.581,0.687,0.481
"ALG3",-2.64,0.0472,0.125,0.777,0.774,0.186
"ALG5",-1.19,0.266,-0.0944,0.311,0.352,0.34
"ALG8",-2.83,0.161,-0.386,0.74,0.931,0.373
"ALG9",-2.45,0.0321,-0.17,0.585,0.481,0.27
"ALKBH2",2.3,-0.176,0.524,-0.818,-0.793,-0.598
"ALKBH3",1.62,-0.399,-0.325,0.0892,-0.0576,0.595
