condition,condition_label,condition_label_factor,Genetype,ExpType,Treatment,name,Genes,Protein.Group,ID,mean_log2_abundance,sd_log2_abundance,n_replicates,rank,highlight_rdh12,highlight_rdh_family
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,CHRAC1,CHRAC1,Q9NRG0,Q9NRG0,24.477264585635368,0.3640574386559086,3,2323,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,GATAD2A,GATAD2A,Q86YP4,Q86YP4,24.4765121251065,0.11843227329452605,3,2324,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,SURF2,SURF2,Q15527,Q15527,24.473466533180865,0.27355038368241935,3,2325,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,LSM14B,LSM14B,Q9BX40,Q9BX40,24.4733967676957,0.14353594949580648,3,2326,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,RRAGA,RRAGA,Q7L523,Q7L523,24.472149117788735,0.3381241569538695,3,2327,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,JAGN1,JAGN1,Q8N5M9,Q8N5M9,24.4713059819835,0.16194677139364222,3,2328,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,WWP1,WWP1,Q9H0M0,Q9H0M0,24.470135996754166,0.21563559853056363,3,2329,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,POP7,POP7,O75817,O75817,24.469575655830635,0.29543178638684203,3,2330,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,PMPCA,PMPCA,Q10713,Q10713,24.469030939707668,0.19741511174275506,3,2331,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,RYBP,RYBP,Q8N488,Q8N488,24.4688836854649,0.10678481967706772,3,2332,FALSE,FALSE
