Protein.Group,Genes,PG.MaxLFQ,CellType,Fraction,SampleName
P61018,RAB4B,8637.439453125,EP,4,EP_F4
P61018,RAB4B,8501.5146484375,WO,4,WO_F4
Q92993,KAT5,9782.6904296875,WO,2,WO_F2
P40429,RPL13A,154416.328125,EP,1,EP_F1
P40429,RPL13A,452231.84375,EP,2,EP_F2
P40429,RPL13A,431130.46875,EP,3,EP_F3
P40429,RPL13A,255329.078125,EP,4,EP_F4
P40429,RPL13A,163782.53125,WO,1,WO_F1
P40429,RPL13A,604850.625,WO,2,WO_F2
P40429,RPL13A,435419.125,WO,3,WO_F3
P40429,RPL13A,269331.5625,WO,4,WO_F4
Q8IVM0,CCDC50,132070.78125,WO,1,WO_F1
P60228,EIF3E,15285.947265625,EP,2,EP_F2
P60228,EIF3E,7438.009765625,WO,2,WO_F2
Q9Y6M9,NDUFB9,55975.71484375,WO,2,WO_F2
Q9Y6M9,NDUFB9,43826.84375,WO,3,WO_F3
Q9Y6M9,NDUFB9,100358.171875,WO,4,WO_F4
Q9BXR0,QTRT1,13307.91015625,WO,2,WO_F2
Q9BXR0,QTRT1,9306.8486328125,WO,3,WO_F3
P63151,PPP2R2A,19092.400390625,WO,1,WO_F1
P63151,PPP2R2A,34767.83203125,WO,2,WO_F2
P63151,PPP2R2A,41395.1171875,WO,3,WO_F3
P63151,PPP2R2A,24313.2421875,WO,4,WO_F4
O95295,SNAPIN,33823.19140625,WO,1,WO_F1
O95295,SNAPIN,207791.640625,WO,2,WO_F2
O95295,SNAPIN,90436.5390625,WO,4,WO_F4
Q9NZT1,CALML5,2649.546630859375,EP,1,EP_F1
Q9NZT1,CALML5,8295.1328125,WO,1,WO_F1
Q9NZT1,CALML5,4081.237060546875,WO,2,WO_F2
P56557,TMEM50B,1341.149658203125,EP,1,EP_F1
P56557,TMEM50B,34490.8125,EP,2,EP_F2
P56557,TMEM50B,2595.18603515625,EP,3,EP_F3
Q13637,RAB32,9692.728515625,WO,2,WO_F2
Q9NPD3,EXOSC4,10314.529296875,EP,1,EP_F1
