Protein.Group,Unique_to,Genes,SampleName,Group,CellType,Fraction,PG.MaxLFQ
Q13895,WO,BYSL,WO_F2,WO,WO,2,24399.18359375
Q13895,WO,BYSL,WO_F3,WO,WO,3,25155.763671875
Q13895,WO,BYSL,WO_F4,WO,WO,4,33555.89453125
Q8N0Y2,WO,ZNF444,WO_F3,WO,WO,3,4650.15576171875
Q8N0Y2,WO,ZNF444,WO_F4,WO,WO,4,3300.67578125
Q9BU76,WO,MMTAG2,WO_F1,WO,WO,1,17170.6484375
Q9BU76,WO,MMTAG2,WO_F2,WO,WO,2,9497.611328125
Q9BU76,WO,MMTAG2,WO_F3,WO,WO,3,10080.69140625
Q9BU76,WO,MMTAG2,WO_F4,WO,WO,4,5797.30517578125
O15394,WO,NCAM2,WO_F2,WO,WO,2,11705.6337890625
O15394,WO,NCAM2,WO_F3,WO,WO,3,15289.6552734375
Q9NRF9,WO,POLE3,WO_F2,WO,WO,2,15969.6572265625
Q8N4C6,WO,NIN,WO_F1,WO,WO,1,8586.2490234375
Q8N4C6,WO,NIN,WO_F2,WO,WO,2,6641.5390625
Q9BQ61,WO,TRIR,WO_F1,WO,WO,1,63554.265625
Q9BQ61,WO,TRIR,WO_F2,WO,WO,2,52697.515625
Q9BQ61,WO,TRIR,WO_F3,WO,WO,3,19714.775390625
Q9BQ61,WO,TRIR,WO_F4,WO,WO,4,41081.70703125
Q03519,WO,TAP2,WO_F2,WO,WO,2,13647.4501953125
Q9H2A7,WO,CXCL16,WO_F3,WO,WO,3,4167.51513671875
Q9H2A7,WO,CXCL16,WO_F4,WO,WO,4,4230.5615234375
Q9H2A7,WO,CXCL16,WO_F1,WO,WO,1,4294.4853515625
Q9H2A7,WO,CXCL16,WO_F2,WO,WO,2,3344.970458984375
Q8WXB4,WO,ZNF606,WO_F3,WO,WO,3,113092.078125
Q8WXB4,WO,ZNF606,WO_F4,WO,WO,4,18361.935546875
Q9BUN5,WO,CCDC28B,WO_F2,WO,WO,2,24994.908203125
Q9BUN5,WO,CCDC28B,WO_F3,WO,WO,3,11219.0224609375
Q9BUN5,WO,CCDC28B,WO_F1,WO,WO,1,59452.0234375
Q9BUN5,WO,CCDC28B,WO_F4,WO,WO,4,16854.228515625
P51884,WO,LUM,WO_F2,WO,WO,2,9344.2802734375
P51884,WO,LUM,WO_F3,WO,WO,3,18488.634765625
P51884,WO,LUM,WO_F4,WO,WO,4,27707.294921875
P51884,WO,LUM,WO_F1,WO,WO,1,26982.380859375
P20396,WO,TRH,WO_F2,WO,WO,2,43257.125
P20396,WO,TRH,WO_F3,WO,WO,3,30746.482421875
P20396,WO,TRH,WO_F4,WO,WO,4,17496.634765625
P20396,WO,TRH,WO_F1,WO,WO,1,1563.5390625
Q6PID6,WO,TTC33,WO_F2,WO,WO,2,3788.450439453125
