"Lipid","LipidClass","sample","Intensity","Treatment","Rep","Genotype","Treatment_raw","Genotype_raw","Experiment","Condition","Detected","log2Intensity"
"Cer(d14:1/16:0)","Cer","s3",1357.060089,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.4062688876466
"Cer(d14:1/16:0)","Cer","s4",1504.900101,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.5554520051518
"Cer(d14:1/16:0)","Cer","s5",1491.340111,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.5423935969431
"Cer(d14:1/16:0)","Cer","s6",2003.800152,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9685229139059
"Cer(d14:1/16:0)","Cer","s7",1433.180096,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.485004197319
"Cer(d14:1/16:0)","Cer","s8",1443.3801,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.4952355541204
"Cer(d14:1/16:0)","Cer","s9",1388.100105,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.4388958985288
"Cer(d14:2/20:0)","Cer","s1",2461.360146,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.2652400529148
"Cer(d14:2/20:0)","Cer","s2",3336.380234,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.7040680010365
"Cer(d14:2/20:0)","Cer","s3",4738.760368,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,12.2102939925541
"Cer(d14:2/20:0)","Cer","s4",5479.520401,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.4198339104431
"Cer(d14:2/20:0)","Cer","s5",3264.080223,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.6724608002748
"Cer(d14:2/20:0)","Cer","s6",5469.800293,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,12.4172724446346
"Cer(d14:2/20:0)","Cer","s7",3308.900234,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.6921360785539
"Cer(d14:2/20:0)","Cer","s8",6684.240421,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.7065479103333
"Cer(d14:2/20:0)","Cer","s9",3025.320232,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.5628721452861
"Cer(d14:1/20:0)","Cer","s1",1727.920113,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.7548208035275
"Cer(d14:1/20:0)","Cer","s2",2254.580147,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.1386430812307
"Cer(d14:1/20:0)","Cer","s3",2671.100151,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.3832183544735
"Cer(d14:1/20:0)","Cer","s4",3869.500271,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.9179315453206
"Cer(d14:1/20:0)","Cer","s5",1917.580139,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.9050711563783
