"","Protein.Group","Genes","LFQ.100_a_RDH12_atRAL5hr","LFQ.100_b_RDH12_atRAL5hr","LFQ.100_c_RDH12_atRAL5hr","LFQ.200_a_RDH12_atRAL5hr","LFQ.200_b_RDH12_atRAL5hr","LFQ.200_c_RDH12_atRAL5hr","LFQ.control_a_RDH12_atRAL5hr","LFQ.control_b_RDH12_atRAL5hr","LFQ.control_c_RDH12_atRAL5hr","LFQ.100_a_GFP_atRAL5hr+24h_recvr","LFQ.100_b_GFP_atRAL5hr+24h_recvr","LFQ.100_c_GFP_atRAL5hr+24h_recvr","LFQ.200_a_GFP_atRAL5hr+24h_recvr","LFQ.200_b_GFP_atRAL5hr+24h_recvr","LFQ.200_c_GFP_atRAL5hr+24h_recvr","LFQ.control_a_GFP_atRAL5hr+24h_recvr","LFQ.control_b_GFP_atRAL5hr+24h_recvr","LFQ.control_c_GFP_atRAL5hr+24h_recvr","LFQ.100_a_RDH12_atRAL5hr+24h_recvr","LFQ.100_b_RDH12_atRAL5hr+24h_recvr","LFQ.100_c_RDH12_atRAL5hr+24h_recvr","LFQ.200_a_RDH12_atRAL5hr+24h_recvr","LFQ.200_b_RDH12_atRAL5hr+24h_recvr","LFQ.200_c_RDH12_atRAL5hr+24h_recvr","LFQ.control_a_RDH12_atRAL5hr+24h_recvr","LFQ.control_b_RDH12_atRAL5hr+24h_recvr","LFQ.control_c_RDH12_atRAL5hr+24h_recvr"
"63","Q8N0Z6","TTC5",4209223,4334660.5,4425593,3915385.75,2663106,4480837,3358573,NA,3355947.25,3811173.75,4106593,4046101.75,3356968.75,3960230,3883151,3510798.5,3840653.25,4075559.25,3372123.5,3810300.75,3401769.75,3803154.75,3930481.5,4295442,3283623.25,3085506,3619389.5
"64","Q9H0G5","NSRP1",4905662,5875640,7516949.5,6152498,21136014,6642613.5,22085834,35321944,24299366,16774965,11505477,17558196,15807997,10484266,13601513,18704842,18446002,16173313,22453486,21152496,26636874,20349150,40104356,22371860,22184312,29721872,22254504
"65","P31948","STIP1",1072290176,980383808,1330528896,922024448,3009670656,997976448,3481003520,6544786432,4069848064,814621632,795399488,1820643968,921151808,500195712,406664064,1377817088,1937766656,1896036736,1380961280,886444800,2367784960,1183371136,2795736320,1768382080,2173777664,2299394304,1484071296
"66","Q92574","TSC1",1927561.875,1700138.875,1677299.25,1862682.125,2918506.25,1868700.625,1157727.75,2739741,1990223.5,2278555.25,1921866.375,2023610,1317401.375,1318573,1364393.5,2894847,1851270.125,1811413.25,1405547.25,1686189,1758529.875,1896327,1875776.125,2042902.75,2175472.75,2504805.25,1612353.875
"67","Q13423","NNT",12911902,12522293,12722493,21329178,6765313,25370454,5079762.5,3132069.5,12771620,15433157,17283060,12282745,19424468,28408014,39628396,9316912,14287015,8671439,19276910,17379782,14469876,13930291,12609413,16778396,20149626,20182692,18636524
"68","Q96GI7","FAM89A",4088682.75,3447647.5,4072260,2601336,5179230.5,3187708.25,9441568,7348850,9636808,8258761,5472283,12136326,3083089.75,2598961.5,2581918.25,10492531,12646260,9023678,10659839,10517442,12935597,10872468,23467460,14736203,15350878,14293289,11290628
"69","Q8NAF0","ZNF579",21520026,18977990,31126692,28302220,112506584,26781562,54136700,79837160,68312784,18818296,16715706,15679813,28809146,23285164,21401976,18376556,25044276,15085371,12778361,15646989,14196846,13403912,20604852,13601081,16550254,22070364,11867702
"70","P56945","BCAR1",1473722,1267619.875,1874554.75,1499357.75,725275.3125,1514235.5,1308035.625,1070395,1530378.125,2564146.5,1730619,1867102.125,1423966.75,1200832.25,1416196.375,2261730.75,2178736.5,1901869,1712285.625,1939491.5,1529979.75,1850344.25,2008953.5,1714134.25,1467159.125,1726412.25,1370591.875
"71","P98172","EFNB1",11116939,9438435,13382452,12907116,26343624,10138031,26260060,24340556,23343764,10604940,9651214,14326880,12129164,8048821.5,9002845,15235310,15006275,14665947,17231458,13111347,17552576,14358166,18296968,15060738,19638428,20381048,14316260
"72","O60716","CTNND1",36424156,29828128,30415722,38632836,23347370,33008810,24746952,21288594,26127690,27270768,26942464,30440800,29482840,33661188,39714984,29981886,28438120,25434220,30399246,26973384,34051168,30596030,35535176,35289076,33080572,35161396,36257900
