"","X","Gene","contrast","p.val","p.adj","ratio"
"90",105,"ABCC10","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",0.0376098705234324,0.942,-0.683
"91",106,"ABHD16A","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.700279183915213,0.958,-0.17
"92",107,"ABHD16A","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.0758617077959923,0.819,0.816
"93",108,"ABHD16A","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.154117802046843,0.845,0.646
"94",109,"ABHD16A","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.286709250670279,0.754,0.477
"95",110,"ABHD16A","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.47706342120904,0.879,0.316
"96",111,"ABHD16A","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.851250751665853,0.88,-0.0829
"97",112,"ABHD16A","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",1.43646111211721e-07,1,3.42
"98",113,"ABHD16A","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.614710827689194,0.934,-0.223
"99",114,"ABHD16A","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.793279853858732,0.904,0.116
"100",115,"ABHD16A","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.479302210853002,0.92,0.314
"101",116,"ABHD16A","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.940477602072218,0.933,0.033
"102",117,"ABHD16A","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.790453535014783,0.792,0.117
"103",118,"ABHD16A","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",8.48933086267909e-08,6.12e-05,3.54
"104",119,"ABHD16A","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.381988897544194,0.827,0.39
"105",120,"ABHD16A","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",2.50288963362667e-08,0.282,3.82
"106",121,"ABHD5","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.986109540873954,0.972,0.0154
"107",122,"ABHD5","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.500994342005329,0.914,0.599
"108",123,"ABHD5","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.490173089299025,0.894,0.614
"109",124,"ABHD5","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.00475651666317404,0.0887,-2.77
"110",125,"ABHD5","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.0032033568685792,0.495,-2.92
"111",126,"ABHD5","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.00791901495294784,2.39e-05,-2.58
"112",127,"ABHD5","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.0791643779205835,1,-1.62
"113",128,"ABHD5","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.256262709798122,0.914,-1.02
"114",129,"ABHD5","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.0140682654680506,0.0599,2.35
"115",130,"ABHD5","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.424753847623448,0.917,-0.712
"116",131,"ABHD5","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.798606097949087,0.921,-0.226
"117",132,"ABHD5","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.874714731047642,0.803,0.14
"118",133,"ABHD5","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",0.106568174202309,0.305,-1.48
"119",134,"ABHD5","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.838133097600139,0.904,-0.181
"120",135,"ABHD5","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",0.0360778712989557,0.941,-1.96
"121",136,"ABLIM2","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.553058341757872,0.944,0.237
"122",137,"ABLIM2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.0813398182905294,0.824,-0.721
"123",138,"ABLIM2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.232397605953034,0.864,-0.484
"124",139,"ABLIM2","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",7.84269600740497e-06,3.6e-06,-2.33
"125",140,"ABLIM2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.000126940038540929,0.228,-1.86
"126",141,"ABLIM2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",1.03997236567256e-05,2.67e-14,-2.29
"127",142,"ABLIM2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.60361077796683,1,-0.207
"128",143,"ABLIM2","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.130093060895569,0.896,0.62
"129",144,"ABLIM2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",1.39147216102825e-05,1.13e-08,2.23
"130",145,"ABLIM2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.0343580861858094,0.835,0.892
"131",146,"ABLIM2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.897990003512687,0.93,-0.051
"132",147,"ABLIM2","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.206178746479172,0.644,-0.513
"133",148,"ABLIM2","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",0.0814649447025915,0.285,-0.721
"134",149,"ABLIM2","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.638770093335201,0.882,0.187
"135",150,"ABLIM2","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",0.578259760957468,0.965,0.222
"136",151,"ABR","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.970701886292509,0.972,0.0231
"137",152,"ABR","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.811175372615169,0.931,0.15
"138",153,"ABR","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.782896181917552,0.911,0.173
"139",154,"ABR","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.571727286131203,0.855,-0.356
"140",155,"ABR","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.706318400190105,0.896,-0.237
"141",156,"ABR","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.911753461757082,0.893,-0.0696
"142",157,"ABR","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",8.19279070453774e-09,1,5.81
"143",158,"ABR","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.413881599091758,0.925,-0.517
"144",159,"ABR","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.986339055112044,0.924,-0.0107
"145",160,"ABR","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.279897080181058,0.906,0.688
"146",161,"ABR","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.89819628495784,0.93,-0.0803
"147",162,"ABR","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.146545595105708,0.605,-0.936
"148",163,"ABR","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",1.37885214885764e-07,0.000115,4.88
"149",164,"ABR","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.675003141009728,0.887,-0.264
"150",165,"ABR","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",1.32861103468895e-08,0.238,5.64
"151",166,"ABRACL","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.531375964034179,0.941,-0.217
"152",167,"ABRACL","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.000701844957811817,0.378,-1.36
"153",168,"ABRACL","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.000157230512751101,0.341,-1.58
"154",169,"ABRACL","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.835788152525466,0.894,-0.0717
"155",170,"ABRACL","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.261661026733777,0.852,0.394
"156",171,"ABRACL","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.432153313514243,0.625,-0.274
"157",172,"ABRACL","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.00254748302128442,1,-1.17
"158",173,"ABRACL","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.00484145312812498,0.754,1.08
"159",174,"ABRACL","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.542581642257341,0.856,-0.211
"160",175,"ABRACL","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.0502042237808746,0.85,0.711
"161",176,"ABRACL","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.170569438520363,0.653,-0.485
"162",177,"ABRACL","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.137371109800361,0.598,-0.528
"163",178,"ABRACL","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",6.81116877592997e-05,0.0212,-1.7
"164",179,"ABRACL","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.964308412587434,0.914,-0.0155
"165",180,"ABRACL","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",0.152977862623707,0.955,-0.507
"166",181,"ACAD9","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.126545417399459,0.685,0.366
"167",182,"ACAD9","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.0424531672736399,0.777,0.497
"168",183,"ACAD9","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0012130273589486,0.477,0.863
"169",184,"ACAD9","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.781312266770476,0.888,0.0646
"170",185,"ACAD9","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.217142396591803,0.842,0.292
"171",186,"ACAD9","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.967407624641754,0.903,-0.00949
"172",187,"ACAD9","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",2.47970832255186e-05,1,1.25
"173",188,"ACAD9","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.00178557978596646,0.685,-0.825
"174",189,"ACAD9","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.102626739838569,0.414,-0.392
"175",190,"ACAD9","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.0804029048352822,0.868,-0.422
"176",191,"ACAD9","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.095091547516108,0.47,-0.402
"177",192,"ACAD9","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.175251306165779,0.626,0.322
"178",193,"ACAD9","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",1.1344075193225e-06,0.00114,1.57
