"","Gene","contrast","ratio","p.adj","direction"
"178","SLC25A13","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-1,0.0166448700210762,"down"
"179","ATP5F1C","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.999,0.00936943125110412,"down"
"180","ATP5F1A","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.95,0.00900512361036473,"down"
"181","ATP5MF","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.854,0.0127225517249549,"down"
"182","SLC37A3","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.748,0.0213322595323746,"down"
"183","SLC12A4","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.738,0.00254346963636226,"down"
"184","ATP1B1","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.725,0.00930699597926361,"down"
"185","SLC25A24","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.707,0.0486206432803623,"down"
"186","SLC25A17","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.7,0.0121208940470898,"down"
"187","ATP6V0A2","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.688,0.0236558960876355,"down"
"188","ATP5F1B","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.674,0.0101678367774661,"down"
"189","SLC25A10","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-0.673,0.0111223083078618,"down"
"190","SLC39A7","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",6.95,6.67531835478262e-05,"up"
"191","SLC38A10","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",3.37,0.0340142903903076,"up"
"192","ATP5PF","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",1.96,0.0168897861490166,"up"
"193","ATP5MK","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",1.81,5.91991244545182e-06,"up"
"194","ATP5IF1","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",1.68,0.0119826137528019,"up"
"195","ATP6V1G1","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",1.6,0.00595115783851914,"up"
"196","SLC39A10","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",1.19,0.0179714148819019,"up"
"197","ATP5ME","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.985,0.00146091989666359,"up"
