name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
ACSS1,Q9NUB1,2.0204759408210434e-5,0.20930434195728248,3.9299713866080736e-4,0.491,0.832,1,FALSE,FALSE,FALSE,FALSE,-1.15,0.269,-0.882,-0.386,0.216,-0.338,-0.305,-0.0128,-0.0365,-0.202,0.845,0.22
ACSS2,Q9NR19,0.012897042325383933,0.3331767322207907,0.09719777052622519,0.517,0.863,1,FALSE,FALSE,FALSE,FALSE,1.31,-0.477,0.837,0.111,0.233,0.251,0.417,-0.0579,-0.0598,-0.00869,-0.897,0.011
ACSS3,Q9H6R3,0.009288159414601224,0.5120694659333123,0.038724480991594666,0.512,0.888,1,FALSE,FALSE,FALSE,FALSE,3.15,-0.73,2.42,1.01,1.06,-0.508,0.411,0.725,-0.319,-0.516,-2.74,0.878
ACTA1,P68133,0.1441442006738861,0.8173933895359458,0.09477948226041151,0.592,0.911,1,FALSE,FALSE,FALSE,FALSE,1.78,0.274,2.06,1.17,0.208,0.539,-0.203,0.283,0.0708,-0.446,-1.98,0.367
ACTBL2,Q562R1,0.035822604223629255,0.06367495877177175,4.326221821994891e-4,0.539,0.745,1,FALSE,FALSE,FALSE,FALSE,-0.396,-0.345,-0.741,-0.13,-0.142,-0.267,0.23,-0.0825,-0.115,-0.0544,0.626,-0.0639
ACTL6A,O96019,0.0020832545460558434,0.044375048397105286,0.1791012344032874,0.502,0.732,1,FALSE,FALSE,FALSE,FALSE,-0.917,0.556,-0.361,-0.391,0.201,-0.275,-0.105,-0.197,0.451,-0.362,0.812,-0.133
ACTMAP,Q5BKX5,4.694508693197093e-6,0.1415272696248492,1.443503248208187e-4,0.48,0.802,1,FALSE,FALSE,FALSE,FALSE,6.2,-1.53,4.68,1.2,0.363,1.1,0.921,0.584,-0.606,0.845,-5.28,0.873
ACTN1,P12814,0.6964555086109878,1.6337463809618379e-4,6.582509122527336e-5,0.681,0.574,1,FALSE,FALSE,FALSE,FALSE,-0.0625,-0.732,-0.795,-0.0613,-0.394,-0.0779,0.63,-0.253,-0.102,-0.149,0.692,-0.285
ACTN4,O43707,0.5194278759237567,0.0012883976424761755,2.8044499673184e-4,0.662,0.636,1,FALSE,FALSE,FALSE,FALSE,-0.098,-0.56,-0.658,-0.213,-0.344,-0.152,0.638,-0.288,0.0776,-0.186,0.736,-0.267
ACTR10,Q9NZ32,0.1379008685392867,0.0029831514622297517,0.08116374057395538,0.59,0.657,1,FALSE,FALSE,FALSE,FALSE,0.286,-0.625,-0.34,0.203,-0.322,0.256,0.244,0.0352,-0.382,-0.0128,-0.0422,0.0211
ACTR1A,P61163,0.24742426305345855,0.14327394556122924,0.7430763860221685,0.619,0.803,1,FALSE,FALSE,FALSE,FALSE,0.243,-0.31,-0.0677,0.147,-0.117,0.071,0.255,-0.109,-0.0558,-0.134,0.0119,-0.0696
ACTR1B,P42025,0.6181280930738562,0.05011325545787189,0.12999946146541236,0.673,0.736,1,FALSE,FALSE,FALSE,FALSE,0.111,-0.457,-0.346,0.0172,-0.00463,-0.158,0.195,0.0932,-0.262,0.112,0.0841,-0.0767
ACTR2,P61160,0.011755818338800616,0.01680965863429778,0.871350735861757,0.515,0.694,1,FALSE,FALSE,FALSE,FALSE,0.671,-0.632,0.0397,-0.0621,0.00618,-0.0585,0.533,-0.0138,-0.0985,-0.07,-0.138,-0.0983
ACTR3,P61158,0.029540604712793527,0.010876252158132598,0.6470123752549897,0.534,0.678,1,FALSE,FALSE,FALSE,FALSE,0.451,-0.54,-0.0894,0.0769,0.122,0.0327,0.321,-0.0411,-0.22,-0.0179,-0.13,-0.144
ACTR3B,Q9P1U1,0.34894890394411027,0.029164548715808394,0.17925317745149938,0.638,0.717,1,FALSE,FALSE,FALSE,FALSE,0.714,-1.75,-1.04,-0.043,0.164,-0.523,0.711,0.36,-1.04,0.302,-0.00269,0.0704
ACTR5,Q9H9F9,3.0172497162059015e-4,0.661189526281418,8.491141532198445e-4,0.499,0.901,1,FALSE,FALSE,FALSE,FALSE,3.13,-0.318,2.81,0.302,0.665,0.265,0.475,0.33,0.156,0.323,-2.65,0.137
ACTR6,Q9GZN1,0.017238364283402287,0.01637465411347873,0.9812495692082204,0.522,0.693,1,FALSE,FALSE,FALSE,FALSE,0.483,-0.487,-0.00442,-0.0692,0.556,0.0398,-0.0546,0.107,-0.542,0.08,-0.538,0.42
ACTR8,Q9H981,0.03011255180059001,0.44515044352100197,0.005501230279994758,0.535,0.88,1,FALSE,FALSE,FALSE,FALSE,1.44,0.48,1.92,-0.0245,0.214,0.153,0.329,-0.304,0.809,-0.124,-1.11,0.0589
ACVR1,Q04771,0.16168112747031613,0.4493447349620846,0.5031486237921639,0.598,0.88,1,FALSE,FALSE,FALSE,FALSE,1.08,-0.573,0.507,-1.62,-0.354,-0.701,2.4,-0.803,1.83,-1.43,1.32,-0.634
ACVR1B,P36896,2.823302848112414e-4,0.4243441852306207,0.0018782268134837697,0.499,0.877,1,FALSE,FALSE,FALSE,FALSE,2.92,-0.541,2.38,-0.421,-1.21,-0.911,3.16,-1.73,2.62,-1.45,0.243,-0.305
ACVR2A,P27037,0.0037642183314079984,0.8570901861798944,0.005697765606361385,0.502,0.913,1,FALSE,FALSE,FALSE,FALSE,2.32,-0.129,2.2,-0.652,-0.874,-0.704,2.7,-0.792,2.57,-0.468,0.373,-2.15
ACVR2B,Q13705,3.256483691618158e-4,0.4602851734792096,0.0018728797924411544,0.499,0.882,1,FALSE,FALSE,FALSE,FALSE,2.5,-0.434,2.07,-1.41,-0.448,-0.185,1.29,0.33,0.851,0.736,-1.22,0.0529
ACY1,Q03154,0.635641854208707,0.7384914813165285,0.42209873257917796,0.675,0.906,1,FALSE,FALSE,FALSE,FALSE,-0.459,-0.323,-0.783,-0.94,-1.13,-0.557,0.787,0.93,0.464,-1.54,1.25,0.74
ACYP1,P07311,1.9615507891234882e-5,0.9852437183998202,2.0452232304209265e-5,0.491,0.92,1,FALSE,FALSE,FALSE,FALSE,-2.04,0.00686,-2.03,-0.369,-1.04,0.224,-0.242,-0.22,-0.236,0.238,1.8,-0.154
ACYP2,P14621,1.0368680123873039e-4,0.4428627964103897,6.361408228539331e-4,0.497,0.88,1,FALSE,FALSE,FALSE,FALSE,-1.68,0.272,-1.41,-0.131,-0.873,-0.103,0.0796,-0.399,0.352,-0.218,1.76,-0.468
ADA,P00813,0.016855115876735917,0.2191431966175087,9.492069428361825e-4,0.521,0.835,1,FALSE,FALSE,FALSE,FALSE,-0.511,-0.248,-0.759,0.00519,-0.287,0.0956,0.234,-0.167,-0.0144,-0.348,0.745,-0.263
ADAL,Q6DHV7,0.1865291447843471,0.6374964828997497,0.38424559044133144,0.605,0.899,1,FALSE,FALSE,FALSE,FALSE,0.839,-0.293,0.545,0.405,-0.229,-0.143,0.763,-1.25,0.47,0.492,-0.0753,-0.43
ADAM10,O14672,2.1632086849070287e-4,0.009346206356281953,0.11757941664714759,0.499,0.675,1,FALSE,FALSE,FALSE,FALSE,-1.5,0.954,-0.542,-0.898,-0.681,-0.317,0.452,-0.802,1.41,-0.737,1.95,-0.371
ADAM15,Q13444,0.0036098964933641083,0.16943462787490166,0.07568498769669858,0.502,0.816,1,FALSE,FALSE,FALSE,FALSE,-0.534,0.231,-0.303,-0.313,-0.309,-0.178,0.0534,-0.0457,0.284,-0.0774,0.587,-0.00139
ADAM17,P78536,0.2675488892783776,0.05587293165689605,0.38389939723832,0.623,0.74,1,FALSE,FALSE,FALSE,FALSE,-0.211,0.375,0.165,-0.477,-0.162,-0.142,0.0336,0.0307,0.409,-0.0527,0.244,0.116
ADAM22,Q9P0K1,0.023824465776637806,0.0011619711043798027,0.1941803741648097,0.529,0.635,1,FALSE,FALSE,FALSE,FALSE,-0.833,1.29,0.457,-0.467,0.123,-0.0103,-0.715,0.104,0.575,-0.0736,0.118,0.347
ADAM9,Q13443,0.10210253162822679,0.01755667039557069,0.39110528197339534,0.577,0.696,1,FALSE,FALSE,FALSE,FALSE,-0.41,0.619,0.21,-0.438,-0.123,-0.451,0.583,-0.274,1.2,-1.23,0.993,-0.265
ADAMTS1,Q9UHI8,0.3820014182924133,0.5871340933636946,0.7358558348822639,0.643,0.895,1,FALSE,FALSE,FALSE,FALSE,0.151,-0.0935,0.058,-0.938,0.305,-1.18,1.18,-0.601,1.09,-0.461,1.03,-0.432
ADAR,P55265,0.003787913829924285,0.008056234408369067,0.7419946691504,0.502,0.673,1,FALSE,FALSE,FALSE,FALSE,-0.545,0.489,-0.0554,-0.304,0.345,-0.29,-0.428,0.15,0.0615,-0.0139,0.117,0.361
ADARB1,P78563,0.7072672320064983,0.3087713251696609,0.5145550671868198,0.682,0.858,1,FALSE,FALSE,FALSE,FALSE,0.165,-0.451,-0.287,0.248,0.934,-0.0287,-0.579,0.531,-1.03,0.142,-0.744,0.526
ADAT2,Q7Z6V5,0.004515859015644294,0.44797872456211374,7.564302956430354e-4,0.503,0.88,1,FALSE,FALSE,FALSE,FALSE,-1.08,-0.26,-1.34,-0.175,-0.792,0.319,-0.0359,-0.0664,-0.296,-0.356,1.04,0.361
ADAT3,Q96EY9,0.866268681561267,0.04344282743984708,0.03063274052681869,0.696,0.732,1,FALSE,FALSE,FALSE,FALSE,-0.159,-2.01,-2.17,0.345,0.342,0.246,-0.0575,0.324,-2.07,0.589,0.102,0.181
ADD1,P35611,0.006942188092724478,4.503863458447761e-4,0.24916511921250373,0.508,0.616,1,FALSE,FALSE,FALSE,FALSE,0.403,-0.562,-0.159,0.259,0.0495,0.236,-0.201,0.277,-0.762,0.348,-0.603,0.396
ADD2,P35612,4.057738726617671e-4,0.6274765205545424,0.0012766555848499617,0.5,0.898,1,FALSE,FALSE,FALSE,FALSE,-1.18,0.137,-1.05,-0.179,-0.475,0.0157,-0.664,0.361,-0.527,0.532,0.519,0.417
ADD3,Q9UEY8,0.5030403057377637,0.4546072806005347,0.9365799391965354,0.66,0.881,1,FALSE,FALSE,FALSE,FALSE,-0.156,0.174,0.0184,0.0336,0.211,0.0819,-0.508,0.311,-0.333,0.288,-0.352,0.267
ADGRE5,P48960,0.4417730337763346,0.318841789046469,0.8146105155798606,0.652,0.86,1,FALSE,FALSE,FALSE,FALSE,-0.758,0.987,0.229,-2.79,0.0972,-0.613,1.3,-1.36,2.29,-0.632,2.06,-0.356
ADGRG6,Q86SQ4,0.42083281205479595,0.38897246274010144,0.9537158250552833,0.649,0.872,1,FALSE,FALSE,FALSE,FALSE,-0.793,0.85,0.0567,-1.5,-0.854,-1.41,2.12,-1.83,2.97,-1.62,2.91,-0.803
ADGRL2,O95490,0.2397270268645874,0.05892839843014487,0.43770709318900747,0.617,0.742,1,FALSE,FALSE,FALSE,FALSE,-0.19,0.314,0.124,-0.409,0.12,-0.295,0.159,-0.156,0.473,-0.223,0.349,-0.0164
ADGRL3,Q9HAR2,0.005854293522498134,0.005699143149522094,0.9906297541839126,0.506,0.669,1,FALSE,FALSE,FALSE,FALSE,-0.93,0.933,0.00358,-0.191,0.261,0.126,-0.57,-0.0889,0.363,-0.107,0.359,-0.152
ADH5,P11766,0.8157066824230176,0.0011007046895321233,0.0019028971545462408,0.691,0.634,1,FALSE,FALSE,FALSE,FALSE,0.0379,-0.613,-0.575,0.024,-0.0612,0.042,0.271,-0.0733,-0.342,-0.0626,0.233,-0.031
ADI1,Q9BV57,4.6728420783969365e-5,0.38140756305268386,3.6667621968715423e-4,0.494,0.871,1,FALSE,FALSE,FALSE,FALSE,-2.16,0.373,-1.79,-0.817,-1.17,-0.396,-0.228,0.077,0.146,0.17,1.93,0.28
ADIPOR1,Q96A54,0.01888031497672296,0.1528621074470094,0.29723223294846945,0.524,0.808,1,FALSE,FALSE,FALSE,FALSE,2.87,-1.67,1.2,-1.17,-2.14,-0.907,4.72,-1.92,3.05,-1.34,1.85,-2.13
ADISSP,Q9GZN8,6.097744424869312e-4,0.7611349627724948,2.9782454690199567e-4,0.5,0.908,1,FALSE,FALSE,FALSE,FALSE,-0.945,-0.0716,-1.02,-0.102,-0.509,-0.0273,0.205,-0.411,0.133,-0.389,1.15,-0.0483
ADK,P55263,0.0012232171209451074,0.980139088958606,0.0012969190727401569,0.501,0.919,1,FALSE,FALSE,FALSE,FALSE,-0.834,0.00558,-0.828,0.085,-0.205,0.152,-0.0643,-0.167,-0.0587,-0.341,0.769,-0.17
ADNP,Q9H2P0,0.669917612140037,0.01254136724539078,0.03160146730530505,0.678,0.683,1,FALSE,FALSE,FALSE,FALSE,-0.0736,0.467,0.393,-0.0308,0.805,-0.122,-0.649,0.239,-0.182,0.113,-0.576,0.403
ADNP2,Q6IQ32,4.318866385176679e-4,0.10454360754404018,0.0206130643064641,0.5,0.776,1,FALSE,FALSE,FALSE,FALSE,-1,0.405,-0.599,0.0675,0.508,-0.19,-0.79,0.294,-0.384,-0.0147,0.215,0.294
ADO,Q96SZ5,8.180702552000919e-5,0.6211593910501826,2.603629446794575e-4,0.496,0.898,1,FALSE,FALSE,FALSE,FALSE,-1.57,0.16,-1.41,-0.286,-0.776,0.32,-0.342,-0.208,-0.183,0.134,1.23,0.113
ADPGK,Q9BRR6,0.0026927644530182803,0.6241533985211113,8.505017404215253e-4,0.502,0.898,1,FALSE,FALSE,FALSE,FALSE,0.842,0.122,0.964,-0.346,0.397,-0.31,0.377,-0.0147,0.499,-0.134,-0.465,-0.00305
ADPRM,Q3LIE5,0.06051815729570819,0.8780673182943681,0.04446389370568974,0.558,0.914,1,FALSE,FALSE,FALSE,FALSE,-2.12,-0.166,-2.29,-0.921,-0.645,-0.259,0.17,0.29,0.0043,-0.603,2.29,-0.33
ADPRS,Q9NX46,0.64589280612864,0.15297812249168974,0.3201963262379753,0.676,0.808,1,FALSE,FALSE,FALSE,FALSE,0.0864,-0.275,-0.189,-0.061,0.14,-0.15,0.182,-0.015,-0.0927,0.138,0.0961,-0.238
ADRM1,Q16186,0.01710283119589405,0.5935846221734804,0.05271359276653699,0.522,0.895,1,FALSE,FALSE,FALSE,FALSE,-0.585,0.122,-0.463,-0.125,-0.446,-0.0589,0.284,-0.292,0.406,-0.233,0.869,-0.403
ADSL,P30566,0.008672667660140446,0.04646726707548497,0.4396755867303306,0.511,0.734,1,FALSE,FALSE,FALSE,FALSE,0.997,-0.727,0.27,0.203,-0.268,0.0581,0.584,-0.0182,-0.143,-0.0139,-0.413,0.0118
ADSS1,Q8N142,0.9880874348465978,0.7207919929565133,0.7319442673060844,0.705,0.905,1,FALSE,FALSE,FALSE,FALSE,-0.0111,0.265,0.254,0.00397,0.207,-1.07,0.405,-0.421,0.67,-0.233,0.416,0.0246
ADSS2,P30520,0.9617967781774119,0.025688746801375582,0.028438113450559938,0.703,0.712,1,FALSE,FALSE,FALSE,FALSE,-0.0185,0.92,0.901,-0.326,-0.442,-0.378,0.0912,-0.106,1.01,0.0515,0.11,-0.0116
AEBP2,Q6ZN18,0.010905157667771285,0.2515204994360448,0.11930459715829192,0.514,0.845,1,FALSE,FALSE,FALSE,FALSE,-1.84,0.774,-1.07,-1.92,0.257,-0.11,-0.0895,3.68e-4,0.685,-0.727,1.75,0.157
AFAP1,Q8N556,0.4078975239825754,0.020335966121406875,0.109269781088473,0.647,0.702,1,FALSE,FALSE,FALSE,FALSE,-0.284,0.847,0.563,-0.112,0.0635,-0.0774,-1,0.529,-0.158,0.726,-0.721,0.755
AFDN,P55196,0.2589598117576889,0.6357658714446475,0.1161221973695719,0.621,0.899,1,FALSE,FALSE,FALSE,FALSE,-0.254,-0.105,-0.359,-0.0606,-0.504,0.064,-0.343,0.344,-0.448,0.596,-0.0886,0.439
AFF1,P51825,0.008450608740812791,0.029998770821743622,0.5644033633737237,0.51,0.718,1,FALSE,FALSE,FALSE,FALSE,-0.941,0.753,-0.189,-0.0892,-0.141,0.179,-0.901,0.251,-0.148,0.438,0.0405,0.371
AFF3,P51826,0.023833550733938714,0.05500949934743584,2.309601192714653e-4,0.529,0.739,1,FALSE,FALSE,FALSE,FALSE,1.94,1.62,3.55,0.545,0.616,0.861,-1.48,0.781,0.135,0.782,-3.42,1.18
AFF4,Q9UHB7,4.771056614285979e-5,0.0012863807852538619,0.16948695334717045,0.494,0.636,1,FALSE,FALSE,FALSE,FALSE,-1.39,1.01,-0.384,-0.141,0.183,-0.0103,-1.14,0.192,-0.134,0.426,0.25,0.376
AFG2A,Q8NB90,0.5751542020527667,0.03828527888256552,0.11474087368968365,0.668,0.727,1,FALSE,FALSE,FALSE,FALSE,0.545,-2.12,-1.58,0.599,0.0659,0.537,0.219,0.323,-1.9,0.373,-0.326,0.114
AFG2B,Q9BVQ7,0.12369224070806667,0.1978454062332528,0.7858249565346822,0.585,0.828,1,FALSE,FALSE,FALSE,FALSE,0.443,-0.367,0.0759,0.625,-0.256,0.631,-0.215,0.2,-0.583,0.266,-0.659,-0.00963
AFG3L2,Q9Y4W6,0.23860784441773797,0.8395308931846381,0.17107881759409188,0.617,0.912,1,FALSE,FALSE,FALSE,FALSE,0.283,0.0478,0.331,-0.156,0.297,-0.551,0.267,-0.102,0.315,-0.0496,-0.0161,-0.00455
AFM,P43652,0.5302320073700818,0.9089718447335566,0.45932940099184993,0.663,0.916,1,FALSE,FALSE,FALSE,FALSE,-0.558,-0.101,-0.66,0.622,-0.563,-0.581,-0.0824,0.863,-0.184,-0.532,0.476,-0.0202
AFP,P02771,0.5404975845359455,0.5770834976769039,0.9560314462702935,0.665,0.894,1,FALSE,FALSE,FALSE,FALSE,-1.01,0.915,-0.0901,-2.18,-0.688,0.485,1.31,-0.746,2.23,-0.591,2.32,-2.13
AGA,P20933,0.13984919396487167,0.5832611701010895,0.3387225405896249,0.591,0.894,1,FALSE,FALSE,FALSE,FALSE,-1.57,0.569,-1,-1.24,0.867,0.257,0.715,-2.02,1.28,-2.41,2.29,0.264
AGAP1,Q9UPQ3,0.0059429017299886385,0.15854261921737065,0.12193589629247008,0.506,0.811,1,FALSE,FALSE,FALSE,FALSE,2.32,-1.1,1.21,0.617,0.443,0.613,0.148,0.512,-0.954,0.422,-2.17,0.367
AGAP3,Q96P47,0.10489926826965958,0.0036906634115335913,7.247202403852407e-5,0.579,0.661,1,FALSE,FALSE,FALSE,FALSE,0.246,0.476,0.723,-2.65e-4,0.157,-0.0971,-0.0554,0.00284,0.421,-0.0497,-0.301,-0.0767
AGFG1,P52594,0.24866765405139588,0.013643908829187631,9.127107899930038e-4,0.619,0.687,1,FALSE,FALSE,FALSE,FALSE,-0.227,-0.517,-0.744,0.0883,-0.544,-0.051,0.0583,0.0313,-0.458,0.556,0.285,0.0351
AGFG2,O95081,0.18524531190953003,0.1292432081575034,0.007879496974044603,0.605,0.795,1,FALSE,FALSE,FALSE,FALSE,-0.418,-0.482,-0.899,-0.123,-0.879,-0.138,0.241,-0.0314,-0.241,0.497,0.658,0.017
AGGF1,Q8N302,0.06476340878241284,0.13380728689081828,0.0021854156676457694,0.56,0.798,1,FALSE,FALSE,FALSE,FALSE,-0.457,-0.366,-0.823,0.0422,-0.573,0.253,-0.0523,-0.0158,-0.418,0.473,0.405,-0.115
AGK,Q53H12,0.0015140847101505564,0.5985324478002774,4.3649636733750056e-4,0.501,0.896,1,FALSE,FALSE,FALSE,FALSE,0.782,0.114,0.896,-0.183,0.305,-0.439,0.367,0.034,0.481,-0.174,-0.415,0.0238
AGL,P35573,0.030403881287397166,0.016586362798679387,0.7781007565717823,0.535,0.694,1,FALSE,FALSE,FALSE,FALSE,0.544,-0.611,-0.0666,0.229,-0.0348,-0.00711,0.318,0.0826,-0.292,-0.159,-0.226,0.0885
AGO1,Q9UL18,0.11629440621557918,0.09321355865010322,0.0028346938555296654,0.582,0.767,1,FALSE,FALSE,FALSE,FALSE,-0.246,-0.264,-0.51,-0.0126,-0.0231,0.0158,0.204,-0.16,-0.0607,-0.242,0.45,-0.17
AGO2,Q9UKV8,0.24797403224847198,0.02589442908022096,0.001817626423859627,0.619,0.712,1,FALSE,FALSE,FALSE,FALSE,-0.155,-0.313,-0.468,0.0632,-0.0112,0.079,-0.0199,0.0344,-0.333,0.0211,0.135,0.0316
AGO3,Q9H9G7,0.028908231136218744,0.23686873091689098,0.26945867257531303,0.534,0.841,1,FALSE,FALSE,FALSE,FALSE,2.97,-1.54,1.43,0.671,0.709,0.472,0.28,0.529,-1.26,0.648,-2.69,0.64
AGPAT1,Q99943,7.477270241529794e-4,0.3744798114542255,9.116037288744972e-5,0.5,0.87,1,FALSE,FALSE,FALSE,FALSE,1.79,0.409,2.2,0.0638,0.856,-0.0904,-0.294,0.537,0.115,0.347,-2.09,0.555
AGPAT3,Q9NRZ7,0.004921983883001996,0.20047941690991047,0.08078484488937038,0.504,0.829,1,FALSE,FALSE,FALSE,FALSE,1.7,-0.71,0.987,0.253,0.885,0.071,-0.0335,0.473,-0.744,0.238,-1.73,0.588
AGPAT4,Q9NRZ5,2.3151482526949314e-5,0.5924218736668854,7.935679935402316e-5,0.491,0.895,1,FALSE,FALSE,FALSE,FALSE,2.5,-0.247,2.25,0.547,1.24,0.299,-0.34,0.66,-0.588,0.222,-2.84,0.804
AGPAT5,Q9NUQ2,0.4668972163863989,0.7059316136723494,0.7233820594148213,0.655,0.904,1,FALSE,FALSE,FALSE,FALSE,0.918,-0.474,0.444,-0.862,0.643,-0.472,0.599,0.625,0.125,-0.628,-0.319,0.289
AGPS,O00116,0.12596134837438636,0.010680761054501624,2.7206689804833693e-4,0.586,0.677,1,FALSE,FALSE,FALSE,FALSE,0.223,0.393,0.616,-0.227,0.319,-0.195,-0.0108,0.0557,0.382,-0.191,-0.233,0.1
AGR2,O95994,2.02821745494585e-6,0.3807795174536648,1.4031977210009653e-5,0.47,0.871,1,FALSE,FALSE,FALSE,FALSE,-7.46,1.01,-6.45,-1.38,-1.06,-0.501,-1.15,-0.8,-0.137,-0.904,6.31,-0.375
AGRN,O00468,0.03402831993331095,0.002860216724135817,0.27406874653215924,0.538,0.656,1,FALSE,FALSE,FALSE,FALSE,-0.542,0.81,0.268,-0.624,-0.489,-0.27,-0.0642,0.107,0.746,-0.0759,0.478,0.193
AGTPBP1,Q9UPW5,0.03354309359637516,0.7900765492550433,0.019007601506960223,0.537,0.909,1,FALSE,FALSE,FALSE,FALSE,2.58,0.305,2.89,0.184,0.434,0.255,0.295,0.244,0.6,0.0336,-2.29,0.242
AGTRAP,Q6RW13,0.8697807637599428,0.511415889552492,0.6207802328109145,0.696,0.888,1,FALSE,FALSE,FALSE,FALSE,0.0438,-0.177,-0.133,0.0533,-0.215,0.0227,0.194,-0.0351,0.0173,-0.121,0.15,-0.0665
AHCTF1,Q8WYP5,0.011373027689796584,0.0026702724683048623,0.5283334045746424,0.515,0.654,1,FALSE,FALSE,FALSE,FALSE,-1.07,1.31,0.246,-0.444,0.646,-0.129,-0.662,-0.175,0.651,-0.136,0.406,-0.156
AHCY,P23526,0.023763987484055386,0.05894455377617218,0.6610078058339157,0.529,0.742,1,FALSE,FALSE,FALSE,FALSE,0.409,-0.335,0.0744,0.0989,-0.144,-0.0159,0.35,-0.04,0.0155,-0.0295,-0.0589,-0.177
AHCYL1,O43865,0.00677207379411028,0.20638952135378008,0.10161982445902903,0.508,0.831,1,FALSE,FALSE,FALSE,FALSE,0.599,-0.259,0.34,0.0607,0.0853,-0.017,0.328,-0.0299,0.0691,-0.219,-0.271,-0.00634
AHCYL2,Q96HN2,0.02729071923373314,0.949301909144868,0.02383189328242974,0.532,0.918,1,FALSE,FALSE,FALSE,FALSE,-0.917,-0.0248,-0.942,-0.325,-0.542,-0.086,-0.0115,-0.0336,-0.0363,0.228,0.906,-0.0987
AHDC1,Q5TGY3,0.2718812775951823,0.014733246274277679,0.001134442094191123,0.623,0.69,1,FALSE,FALSE,FALSE,FALSE,0.214,0.505,0.719,0.176,0.865,0.238,-0.959,0.399,-0.454,0.481,-1.17,0.427
AHNAK,Q09666,8.205624001966277e-5,0.31124086722062494,9.10436624523309e-4,0.496,0.859,1,FALSE,FALSE,FALSE,FALSE,-1.92,0.404,-1.51,0.0208,-0.321,0.569,-1.55,0.488,-1.14,0.88,0.37,0.682
AHNAK2,Q8IVF2,0.0026111633225122826,0.7134432001733189,0.006104732822269018,0.502,0.904,1,FALSE,FALSE,FALSE,FALSE,-1.02,0.111,-0.911,-0.0995,-0.336,0.405,-0.998,0.517,-0.887,0.805,0.0239,0.57
AHSA1,O95433,0.7022493439775509,0.011571952155544008,0.0048582204953930615,0.681,0.68,1,FALSE,FALSE,FALSE,FALSE,-0.0659,-0.473,-0.538,-0.0639,-0.157,0.0657,0.36,-0.249,-0.113,0.0742,0.426,-0.342
AIDA,Q96BJ3,2.032751833936084e-4,0.7887220536420885,3.817442550375933e-4,0.498,0.909,1,FALSE,FALSE,FALSE,FALSE,-1.27,0.0762,-1.2,-0.318,-0.562,0.0442,0.0292,-0.119,0.105,-0.142,1.3,-0.342
AIF1L,Q9BQI0,0.005017780265868837,0.7116195669987023,0.011607930635449536,0.504,0.904,1,FALSE,FALSE,FALSE,FALSE,-1.5,0.179,-1.33,-0.325,-1.02,0.101,-0.391,-0.056,-0.212,0.318,1.11,0.476
AIFM1,O95831,0.18095110394434624,0.0010592032427998474,0.0239726267974436,0.603,0.633,1,FALSE,FALSE,FALSE,FALSE,-0.32,0.883,0.564,-0.48,0.223,-0.41,-0.084,-0.0839,0.8,-0.262,0.236,0.062
AIFM2,Q9BRQ8,0.6216736142987074,0.9047853834918369,0.7078729708308251,0.673,0.916,1,FALSE,FALSE,FALSE,FALSE,-0.605,0.146,-0.459,-0.169,0.69,-1.37,1.49,-1.98,1.63,-2.88,2.09,0.496
AIG1,Q9NVV5,0.5121903095201672,0.4988438785361444,0.19024401536642715,0.661,0.886,1,FALSE,FALSE,FALSE,FALSE,-0.722,-0.745,-1.47,1.14,0.291,1.27,-1.64,1.04,-2.38,0.413,-0.913,0.78
AIMP1,Q12904,0.00901255630986791,0.9426481267833118,0.01059222347638563,0.511,0.918,1,FALSE,FALSE,FALSE,FALSE,-0.672,0.0169,-0.655,-0.158,-0.665,0.118,-0.399,0.2,-0.382,0.66,0.273,0.352
AIMP2,Q13155,0.015412404772591337,0.016740818342913907,0.9699199699135392,0.519,0.694,1,FALSE,FALSE,FALSE,FALSE,0.628,-0.618,0.00904,0.202,-0.786,0.227,0.453,0.124,-0.165,0.01,-0.174,0.11
