name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_100_atRAL5hr_centered,RDH12_200_atRAL5hr_centered,RDH12_control_atRAL5hr_centered
RNPEP,Q9H4A4,0.03062426769350376,0.08858875200548674,0.5148035214307951,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,1.15,-0.854,0.3,0.669,-0.185,-0.485
RNPS1,Q15287,0.010088386166085326,0.08279715526252644,0.2092333480380446,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.26,1.34,-0.92,-1.2,0.138,1.06
ROBO1,Q9Y6N7,0.04741453896512474,0.24700036905887293,0.3073414851461349,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.866,0.462,-0.404,-0.443,0.0196,0.423
ROCK1,Q13464,0.1102002405839787,0.015595538280136552,0.2425862597122185,0.988,0.987,1,TRUE,TRUE,FALSE,TRUE,0.639,-1.09,-0.449,0.575,-0.512,-0.0633
ROCK2,O75116,0.06418139465311691,0.009382520202198187,0.2464322610606379,0.988,0.986,1,TRUE,TRUE,FALSE,TRUE,0.684,-1.08,-0.398,0.589,-0.494,-0.095
ROR1,Q01973,0.02573583455214042,0.17191234986677334,0.2532199883281013,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-1.4,0.766,-0.629,-0.72,0.0458,0.675
ROR2,Q01974,0.07644778302858346,0.3461926244683466,0.01616818989908625,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,1.42,0.701,2.12,0.241,0.941,-1.18
RP9,Q8TA86,0.012753840878895181,0.18166700012566514,0.12225481236840278,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.13,0.976,-1.15,-1.04,-0.059,1.09
RPA3,P35244,0.0060332933948911375,0.47386508044767384,0.018482999510008587,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-0.882,0.179,-0.703,-0.354,-0.174,0.528
RPAIN,Q86UA6,0.017250606441770497,0.8001285059262971,0.011606356284249409,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-0.888,-0.0777,-0.966,-0.27,-0.348,0.618
RPAP1,Q9BWH6,0.025392679933693037,0.6336090678546153,0.05497027567238697,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,2.25,-0.408,1.85,0.887,0.48,-1.37
RPAP3,Q9H6T3,0.03192693348830323,0.11091590958391344,0.0023200457958145585,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-0.61,-0.421,-1.03,-0.0628,-0.484,0.547
RPE,Q96AT9,0.6006116461939351,0.088693159421703,0.20138259594313251,0.989,0.989,1,TRUE,TRUE,TRUE,TRUE,1.14,-4.06,-2.91,1.73,-2.32,0.591
