X,name,ID,Control_100_vs_Control_Veh_p.val,Control_200_vs_Control_100_p.val,Control_200_vs_Control_Veh_p.val,RDH12_100_vs_Control_100_p.val,RDH12_100_vs_RDH12_Veh_p.val,RDH12_200_vs_Control_200_p.val,RDH12_200_vs_RDH12_100_p.val,RDH12_200_vs_RDH12_Veh_p.val,RDH12_Veh_vs_Control_Veh_p.val,Control_100_vs_Control_Veh_p.adj,Control_200_vs_Control_100_p.adj,Control_200_vs_Control_Veh_p.adj,RDH12_100_vs_Control_100_p.adj,RDH12_100_vs_RDH12_Veh_p.adj,RDH12_200_vs_Control_200_p.adj,RDH12_200_vs_RDH12_100_p.adj,RDH12_200_vs_RDH12_Veh_p.adj,RDH12_Veh_vs_Control_Veh_p.adj,Control_100_vs_Control_Veh_significant,Control_200_vs_Control_100_significant,Control_200_vs_Control_Veh_significant,RDH12_100_vs_Control_100_significant,RDH12_100_vs_RDH12_Veh_significant,RDH12_200_vs_Control_200_significant,RDH12_200_vs_RDH12_100_significant,RDH12_200_vs_RDH12_Veh_significant,RDH12_Veh_vs_Control_Veh_significant,significant,Control_100_vs_Control_Veh_ratio,Control_200_vs_Control_100_ratio,Control_200_vs_Control_Veh_ratio,RDH12_100_vs_Control_100_ratio,RDH12_100_vs_RDH12_Veh_ratio,RDH12_200_vs_Control_200_ratio,RDH12_200_vs_RDH12_100_ratio,RDH12_200_vs_RDH12_Veh_ratio,RDH12_Veh_vs_Control_Veh_ratio,Control_100_centered,Control_200_centered,Control_Veh_centered,RDH12_100_centered,RDH12_200_centered,RDH12_Veh_centered
151,PC 36:5,780.554325 -> 184.07,0.136927795,0.761144869,0.225848434,0.253598748,0.721544316,0.462879661,0.040305606,0.079077967,0.030369889,0.516053985,0.93303036,0.713205581,0.594361347,0.976005797,0.650924524,0.621777162,0.334918449,0.151731457,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.246,0.0485,-0.198,-0.186,-0.0569,0.118,0.353,0.296,-0.376,-0.0244,0.0241,0.222,-0.21,0.142,-0.154
152,PC 36:6,778.538725 -> 184.07,0.176765692,0.686166022,0.330056504,0.035893879,0.398795331,0.004266659,0.519144327,0.147567615,0.01218834,0.531486964,0.888560317,0.779712817,0.219013499,0.953944604,0.022260828,0.924067762,0.45776441,0.0812556,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.23,-0.0669,0.163,0.375,0.141,0.549,0.107,0.248,0.465,-0.132,-0.199,-0.363,0.243,0.35,0.102
153,PC 36:7,776.653325 -> 184.07,0.127536452,0.1762779,0.848150125,0.003860523,0.859264555,0.003076171,0.210896865,0.277396377,0.000226639,0.515877782,0.45328603,0.980809545,0.060425571,0.981017338,0.017037254,0.783852927,0.57711958,0.009672047,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.309,-0.272,0.0373,0.657,0.0345,0.679,-0.25,-0.216,0.932,-0.184,-0.456,-0.493,0.473,0.223,0.438
154,PC 38:1,816.684625 -> 184.07,0.053207769,0.047924252,0.956224806,0.344491652,0.516040739,5.48E-05,0.02509013,0.006674837,0.029414197,0.37558425,0.250803393,0.989198075,0.688546783,0.953944604,0.001018986,0.501802605,0.11442578,0.149142405,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.325,-0.334,-0.00863,0.151,0.103,0.871,0.386,0.489,0.374,-0.0128,-0.347,-0.338,0.138,0.524,0.0353
155,PC 38:2,814.705325 -> 184.07,0.21669603,0.034056616,0.311305066,0.566031657,0.331543913,0.011586242,0.969747474,0.349850641,0.396173143,0.583675403,0.238672683,0.766489951,0.828769692,0.953944604,0.044477892,0.998456697,0.655969953,0.604331913,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.246,-0.446,-0.2,0.112,0.192,0.551,-0.00735,0.184,0.167,0.0926,-0.354,-0.154,0.205,0.197,0.013
156,PC 38:3,812.616925 -> 184.07,0.132846473,0.691520159,0.253992157,0.894166325,0.917737905,0.736391709,0.846536278,0.766843167,0.087454363,0.516053985,0.889097348,0.755679143,0.948681088,0.986640738,0.867779471,0.998456697,0.897621457,0.266809922,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.279,-0.0709,0.208,0.0237,-0.0184,0.0601,-0.0345,-0.0529,0.321,0.0491,-0.0217,-0.23,0.0728,0.0383,0.0912
157,PC 38:4,810.674025 -> 184.07,0.416107168,0.531548911,0.847180788,0.003406994,0.443685924,0.378315488,0.00198777,0.009698341,0.081370474,0.745266569,0.807416067,0.980809545,0.060425571,0.953944604,0.56278337,0.258821883,0.134961527,0.25695939,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.122,-0.0934,0.0286,-0.51,-0.115,0.132,0.549,0.434,-0.273,0.18,0.0867,0.0582,-0.329,0.219,-0.215
158,PC 38:5,808.585625 -> 184.07,0.729236114,0.542819029,0.79071513,0.002065944,0.264193013,0.757548774,0.003844838,0.03852353,0.041907613,0.90214777,0.807499382,0.9725683,0.046722294,0.953944604,0.87015312,0.346035421,0.227643108,0.180052387,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0556,-0.0983,-0.0426,-0.591,-0.183,0.0496,0.542,0.359,-0.352,0.2,0.102,0.145,-0.391,0.151,-0.207
159,PC 38:6,806.642725 -> 184.07,0.044439598,0.218158483,0.375756686,0.005886954,0.682628253,0.369486261,0.012154602,0.005258405,0.170402394,0.346429825,0.509152119,0.803612898,0.078474988,0.967121763,0.56278337,0.497266208,0.094651286,0.378671987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.337,-0.197,0.14,-0.494,0.0638,0.142,0.438,0.502,-0.221,0.273,0.0764,-0.0634,-0.22,0.218,-0.284
160,PC 38:7,804.684625 -> 184.07,0.662264323,0.682002296,0.97820684,0.026300293,0.82074795,0.019412341,0.575318714,0.434460236,0.093103133,0.864948034,0.886356774,0.999509016,0.18207895,0.981017338,0.067848958,0.959131414,0.729648832,0.270299418,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0861,0.0807,-0.00536,0.478,0.0445,0.508,0.111,0.155,0.347,-0.278,-0.197,-0.192,0.2,0.311,0.155
161,PC 40:1,844.715925 -> 184.07,0.153018041,0.13550082,0.943013155,0.339168073,0.937538874,0.000868494,0.128601694,0.147071637,0.021551565,0.516053985,0.405601323,0.989198075,0.682125733,0.986640738,0.007628505,0.773352052,0.45776441,0.121227553,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.178,-0.187,-0.00859,0.117,-0.00942,0.494,0.19,0.181,0.304,-0.0309,-0.218,-0.209,0.0859,0.276,0.0953
162,PC 40:2,842.663925 -> 184.07,0.346831981,0.718098471,0.555007881,0.236009493,0.193413983,0.452630308,0.122564886,0.786387041,0.289293747,0.70145794,0.907071753,0.908168736,0.593129327,0.953944604,0.641523271,0.773352052,0.901590238,0.512143005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.183,-0.0692,0.114,-0.233,-0.257,0.145,0.308,0.0519,0.207,0.0641,-0.00511,-0.119,-0.168,0.14,0.0881
163,PC 40:3,840.648225 -> 184.07,0.329151486,0.762838224,0.20821891,0.105357041,0.376121063,0.71583698,0.117657233,0.464802697,0.847832811,0.70145794,0.93303036,0.700723836,0.414862976,0.953944604,0.856150541,0.773352052,0.753734102,0.923354277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.126,0.0383,0.164,-0.215,-0.114,-0.0462,0.207,0.0935,0.0243,0.0687,0.107,-0.0571,-0.146,0.0607,-0.0328
164,PC 40:4,838.632625 -> 184.07,0.979552083,0.903813707,0.883565112,0.933043421,0.935100896,0.231813528,0.21878376,0.192056224,0.977487629,0.989506328,0.988975485,0.989198075,0.965217332,0.986640738,0.411097883,0.783852927,0.499020176,0.984834858,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00399,0.0188,0.0228,0.0131,0.0127,0.191,0.197,0.209,0.00439,-0.0397,-0.0209,-0.0436,-0.0266,0.17,-0.0393
165,PC 40:5,836.616925 -> 184.07,0.036290974,0.146296631,0.45225589,0.019255409,0.943098242,0.091958678,0.011272155,0.009747221,0.695990034,0.331160394,0.411459276,0.856905898,0.158245815,0.986640738,0.22218204,0.497266208,0.134961527,0.842088658,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.316,-0.21,0.106,-0.361,0.00995,0.247,0.398,0.408,-0.0546,0.204,-0.00682,-0.113,-0.157,0.241,-0.167
166,PC 40:6,834.601325 -> 184.07,0.113513515,0.524461005,0.318789165,6.42E-05,0.313959248,0.701632077,0.000458718,0.003654812,0.013270528,0.515877782,0.801996613,0.775433104,0.023116987,0.953944604,0.854806085,0.165138544,0.077396018,0.08531054,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.155,-0.06,0.095,-0.511,-0.096,-0.036,0.415,0.319,-0.26,0.206,0.146,0.051,-0.305,0.11,-0.209
167,PC 40:7,832.715925 -> 184.07,0.833602757,0.220011767,0.302963575,0.015552712,0.920802282,0.099933176,0.039309948,0.047606984,0.012428242,0.943396591,0.509152119,0.766489951,0.14734148,0.986640738,0.233610021,0.621777162,0.255468548,0.08134849,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0274,0.164,0.137,-0.351,-0.0129,-0.225,0.29,0.277,-0.365,0.093,0.257,0.12,-0.258,0.0321,-0.245
168,PC 42:0,874.726525 -> 184.07,0.824564944,0.596089609,0.756337129,0.791363967,0.839065809,0.02299453,0.104554904,0.148773433,0.493832982,0.943396591,0.844230728,0.970438284,0.929784053,0.981017338,0.077364775,0.711517921,0.45776441,0.689069278,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0309,-0.0741,-0.0433,0.0369,-0.0283,0.348,0.237,0.209,0.096,-0.0451,-0.119,-0.076,-0.00827,0.229,0.02
169,PC 42:1,872.710825 -> 184.07,0.080146913,0.375823456,0.013973879,0.009579293,0.009151937,0.004973779,0.234890251,0.00076296,0.083489024,0.450826383,0.690287981,0.153543646,0.104501376,0.470671033,0.024868894,0.7859368,0.027466569,0.261356945,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.213,0.103,0.316,0.338,0.34,0.374,0.14,0.48,0.21,-0.117,-0.0139,-0.33,0.22,0.361,-0.12
170,PC 42:10,854.700225 -> 184.07,0.512585679,0.106083128,0.030688754,0.907806231,0.584950347,0.756561498,0.217312842,0.085093973,0.82089251,0.796181387,0.389821314,0.240172857,0.948681088,0.953944604,0.87015312,0.783852927,0.336156998,0.909296319,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0864,0.222,0.308,0.0152,0.0719,-0.0406,0.166,0.238,0.0297,-0.0458,0.176,-0.132,-0.0307,0.135,-0.103
171,PC 42:11,852.684625 -> 184.07,0.055229275,0.280581011,0.35064186,0.071054601,0.10210608,0.796162019,0.293238215,0.522792459,0.080072723,0.382356522,0.577851318,0.803506192,0.345671034,0.931806613,0.878356907,0.819582967,0.781586877,0.25509894,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.26,-0.14,0.12,-0.243,-0.218,0.0328,0.136,-0.0817,0.235,0.129,-0.0106,-0.131,-0.114,0.0222,0.104
172,PC 42:2,870.695225 -> 184.07,0.01415634,0.791659094,0.024067875,0.010563919,0.048217206,0.506645401,0.066369064,0.865689625,0.063339932,0.221577494,0.953209199,0.221028869,0.110929349,0.819262707,0.696153986,0.649923037,0.936574979,0.223343256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.299,-0.0289,0.27,-0.315,-0.231,-0.073,0.213,-0.0185,0.216,0.138,0.109,-0.161,-0.177,0.0361,0.0546
173,PC 42:3,868.679525 -> 184.07,0.740154939,0.46758311,0.296059365,0.504657579,0.549267196,0.377450419,0.409866503,0.817093474,0.688457257,0.905526004,0.76599399,0.766489951,0.777728359,0.953944604,0.56278337,0.878285363,0.917263566,0.840151229,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0422,0.0931,0.135,0.0854,0.0765,-0.114,-0.106,-0.0294,0.0511,-0.0208,0.0723,-0.063,0.0646,-0.0413,-0.0119
174,PC 42:4,866.663925 -> 184.07,0.670334727,0.661031842,0.989684573,0.866896914,0.798253277,0.659546817,0.303034174,0.432377097,0.735245323,0.864948034,0.86850899,0.999509016,0.934379908,0.981017338,0.824433522,0.819582967,0.729648832,0.870685251,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0456,0.0469,0.00138,-0.0179,-0.0273,0.0472,0.112,0.0847,-0.0362,-0.0297,0.0173,0.0159,-0.0476,0.0644,-0.0203
175,PC 42:5,864.648225 -> 184.07,0.392316346,0.968993257,0.371995987,0.174029914,0.259837117,0.91037254,0.134852128,0.015100746,0.106617221,0.735059849,0.997868493,0.803608775,0.51303877,0.953944604,0.952715449,0.780977483,0.164735414,0.292993889,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0851,0.00382,0.0889,-0.138,0.113,0.0111,0.153,0.266,-0.166,0.0759,0.0798,-0.00917,-0.0621,0.0908,-0.175
176,PC 42:6,862.632625 -> 184.07,0.122557596,0.405422591,0.025172732,0.042150649,0.836342166,0.802720618,0.013005292,0.019729023,0.710320944,0.515877782,0.705082766,0.221028869,0.240860849,0.981017338,0.878356907,0.497266208,0.188078626,0.846740198,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.21,0.11,0.32,-0.286,-0.0269,-0.0326,0.363,0.336,-0.0485,0.0945,0.204,-0.116,-0.191,0.172,-0.164
177,PC 42:7,860.747225 -> 184.07,0.406372501,0.897060996,0.480870716,0.239471726,0.91900286,0.632059416,0.134751732,0.160110402,0.792315187,0.740044291,0.984579142,0.872300492,0.594361347,0.986640738,0.801202077,0.780977483,0.459842841,0.894148801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.113,-0.0173,0.0953,-0.162,-0.0136,0.0644,0.209,0.195,-0.0353,0.0654,0.0481,-0.0472,-0.0962,0.113,-0.0826
178,PC 42:8,858.731525 -> 184.07,0.652004678,0.634381534,0.359551632,0.157975132,0.449164349,0.864551573,0.258246337,0.695692115,0.260284424,0.864948034,0.866777309,0.803608775,0.48607733,0.953944604,0.912723068,0.801508908,0.869615144,0.487079418,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.045,-0.0475,-0.0925,-0.146,-0.0761,0.017,0.115,0.039,-0.115,0.0414,-0.00615,0.0864,-0.104,0.0108,-0.0282
179,PC 42:9,856.715925 -> 184.07,0.651839522,0.712759341,0.933217961,0.906514555,0.721782369,0.609547484,0.978782332,0.741665408,0.36101431,0.864948034,0.906665966,0.989198075,0.948681088,0.976005797,0.781193845,0.998456697,0.88999849,0.58280337,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.072,0.0587,-0.0133,-0.0187,0.0567,-0.0816,-0.00423,0.0525,-0.147,-0.00228,0.0564,0.0697,-0.021,-0.0252,-0.0777
180,PC 44:0,902.757825 -> 184.07,0.403508167,0.753722887,0.596843969,0.856830491,0.15134236,0.174768964,0.216928417,0.013688565,0.415611596,0.740044291,0.93303036,0.91393034,0.933013703,0.931806613,0.336453621,0.783852927,0.164262785,0.620830599,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0702,-0.0261,0.0441,-0.015,0.124,0.116,0.105,0.229,-0.0684,0.0266,0.000499,-0.0436,0.0116,0.117,-0.112
181,PC 44:1,900.742125 -> 184.07,0.350009935,0.963890333,0.372785182,0.898923827,0.19994031,0.040710946,0.056596721,0.004026111,0.807557064,0.703930596,0.997868493,0.803608775,0.948681088,0.953944604,0.124202886,0.627978789,0.080522216,0.9000636,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.109,-0.00521,0.104,0.0146,0.152,0.254,0.234,0.386,-0.028,-0.00198,-0.00718,-0.111,0.0126,0.247,-0.139
182,PC 44:2,898.726525 -> 184.07,0.340114769,0.106870427,0.016698895,0.683958361,0.529088635,0.246505149,0.369105182,0.781794511,0.243473292,0.70145794,0.389821314,0.166988948,0.893239092,0.953944604,0.430785697,0.851781189,0.899188575,0.468718636,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0916,0.16,0.251,-0.0386,-0.0599,-0.112,0.0861,0.0262,0.113,-0.0164,0.143,-0.108,-0.055,0.0311,0.00493
183,PC 44:5,892.679525 -> 184.07,0.345808618,0.966372891,0.366809397,0.542822067,0.292913842,0.431843471,0.18589108,0.02600811,0.471023861,0.70145794,0.997868493,0.803608775,0.805544666,0.953944604,0.61937709,0.783852927,0.212793623,0.670231581,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0884,-0.00389,0.0845,-0.0566,0.099,0.0734,0.126,0.225,-0.0672,0.0392,0.0353,-0.0493,-0.0174,0.109,-0.116
184,PC 44:8,886.726525 -> 184.07,0.152951788,0.347394349,0.026036327,0.44139225,0.203574624,0.7568738,0.169162855,0.014447003,0.54830668,0.516053985,0.651364405,0.223168515,0.73226364,0.953944604,0.87015312,0.783852927,0.164735414,0.725700018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.114,0.0732,0.187,-0.0597,0.1,-0.0238,0.109,0.209,-0.0463,0.0351,0.108,-0.0786,-0.0245,0.0845,-0.125
185,PC 46:1,928.773425 -> 184.07,0.616117524,0.182253135,0.075707204,0.265437541,0.216713814,0.797416643,0.985320509,0.223097009,0.71010791,0.849817274,0.455632838,0.425853023,0.594361347,0.953944604,0.878356907,0.998456697,0.53701383,0.846740198,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0496,0.136,0.185,0.112,0.125,-0.0253,-0.00181,0.123,0.0367,-0.0493,0.0864,-0.0989,0.0629,0.0611,-0.0622
186,PC 46:2,926.757825 -> 184.07,0.732606085,0.300969117,0.48035791,0.879020386,0.732004347,0.471217692,0.632992548,0.891627626,0.879654248,0.903212982,0.598612609,0.872300492,0.941807557,0.976005797,0.657513059,0.978014237,0.94966256,0.942486694,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0372,0.115,0.0774,-0.0166,-0.0373,-0.0791,0.0521,0.0148,-0.0165,-0.0319,0.0827,0.00528,-0.0485,0.00363,-0.0112
187,PC 48:2,954.789125 -> 184.07,0.891790792,0.506597936,0.59566489,0.74506176,0.608365035,0.839665357,0.58697136,0.298109075,0.745544885,0.967921812,0.793364286,0.91393034,0.913253181,0.953944604,0.896971895,0.964071505,0.584496396,0.872417223,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.013,-0.0641,-0.051,-0.0312,-0.0493,-0.0194,-0.0523,-0.102,0.0311,0.0289,-0.0351,0.0159,-0.00224,-0.0545,0.047
188,PC O-24:6,736.58564 -> 184.1,0.281071403,0.098119127,0.526776021,0.07716986,0.330283912,0.186626735,0.230534995,0.039824164,0.825744308,0.670104008,0.381720678,0.890325669,0.362773979,0.953944604,0.348112045,0.7859368,0.227643108,0.910935494,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.553,0.873,0.32,0.939,0.497,0.684,0.618,1.11,-0.111,-0.727,0.145,-0.175,0.212,0.83,-0.285
189,PC O-28:0,664.528125 -> 184.07,0.757386771,0.99210462,0.764888553,0.385812226,0.154497276,0.095351167,0.382673683,0.030228367,0.371098418,0.911903804,0.997868493,0.970438284,0.696086676,0.931806613,0.225831712,0.861015787,0.219424644,0.58785652,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.045,0.00144,-0.0435,0.128,0.215,0.255,0.129,0.343,-0.132,-0.0573,-0.0558,-0.0123,0.0705,0.199,-0.144
190,PC O-28:1,662.512425 -> 184.07,0.891751963,0.58054231,0.675818172,0.849895939,0.529136233,0.171144886,0.505872309,0.970670311,0.345123901,0.967921812,0.841156618,0.958245892,0.933013703,0.953944604,0.331248167,0.924067762,0.995559293,0.575706383,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0232,-0.0948,-0.0716,0.0323,-0.108,0.242,0.114,0.00628,0.164,-0.0336,-0.128,-0.0568,-0.00127,0.113,0.107
191,PC O-30:1,690.543725 -> 184.07,0.105620927,0.016676731,0.343003654,0.000818541,0.113019394,1.39E-05,0.625097589,0.253972625,0.000757922,0.513831539,0.170156584,0.796653647,0.03730155,0.931806613,0.000707939,0.978014237,0.560921135,0.016719391,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.237,-0.371,-0.135,0.578,0.232,0.881,-0.0685,0.163,0.583,-0.138,-0.509,-0.374,0.44,0.372,0.209
192,PC O-30:6,680.52304 -> 184.1,0.030306452,0.024109019,0.90789941,0.244224065,0.332993298,0.162579769,0.014507729,0.096920962,0.855027831,0.311723507,0.193242188,0.989198075,0.594361347,0.953944604,0.319829055,0.497266208,0.358100572,0.927138612,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.351,0.368,0.0172,0.177,-0.146,0.215,0.405,0.259,-0.0272,-0.3,0.0675,0.0503,-0.123,0.282,0.0232
193,PC O-32:0,720.590725 -> 184.07,0.100202605,0.086055939,0.932673462,0.011629579,0.513377974,0.000978215,0.552115561,0.9519702,0.001311005,0.494149833,0.373254674,0.989198075,0.116295788,0.953944604,0.00800358,0.946483819,0.984102703,0.022282786,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.368,-0.386,-0.018,0.605,0.14,0.863,-0.128,0.0128,0.833,-0.132,-0.518,-0.5,0.473,0.345,0.332
194,PC O-32:1,718.575025 -> 184.07,0.164602135,0.034920641,0.401719515,0.022159239,0.863222855,4.78E-05,0.424055446,0.527571142,0.000834389,0.516053985,0.238672683,0.826394431,0.166194296,0.981017338,0.00101546,0.892332302,0.781586877,0.016719391,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.276,-0.44,-0.163,0.484,-0.0331,1.08,0.155,0.122,0.793,-0.154,-0.594,-0.43,0.33,0.485,0.363
195,PC O-32:2,716.559425 -> 184.07,0.046982126,0.133187309,0.570438662,0.001569462,0.356688847,3.27E-05,0.659052704,0.181873801,0.000146344,0.346429825,0.405601323,0.91393034,0.045934819,0.953944604,0.00084147,0.983273573,0.481430648,0.009672047,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.259,-0.19,0.0692,0.463,0.113,0.706,0.0537,0.167,0.608,-0.147,-0.336,-0.405,0.316,0.37,0.203
196,PC O-32:3,714.543725 -> 184.07,0.431085889,0.111400687,0.024763778,0.405995362,0.947698047,0.247902672,0.72083234,0.770199293,0.131433274,0.754357843,0.392643046,0.221028869,0.709396573,0.986640738,0.431135082,0.99045665,0.897621457,0.338625631,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.103,0.215,0.317,0.108,0.00846,-0.153,-0.0462,-0.0377,0.203,-0.0638,0.151,-0.166,0.0446,-0.00154,0.0362
197,PC O-32:6,708.55434 -> 184.1,0.164279333,0.073627812,0.649718298,0.210852143,0.965425133,0.111515805,0.035823119,0.038972249,0.912525032,0.516053985,0.336999189,0.954688111,0.558138027,0.98899557,0.250885797,0.621777162,0.227643108,0.966202975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.669,0.881,0.212,0.598,-0.0201,0.774,1.06,1.04,-0.051,-0.737,0.144,-0.0677,-0.139,0.918,-0.119
198,PC O-34:0,748.622025 -> 184.07,0.044596387,0.041652697,0.971723219,0.021134487,0.836493588,0.003861021,0.186796229,0.132125344,0.000179269,0.346429825,0.244250672,0.997509965,0.161881176,0.981017338,0.020440702,0.783852927,0.4209303,0.009672047,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.39,-0.396,-0.0064,0.459,-0.0373,0.609,-0.246,-0.283,0.886,-0.0635,-0.46,-0.454,0.395,0.149,0.432
199,PC O-34:1,746.606325 -> 184.07,0.014790998,0.009023228,0.808035191,0.028468329,0.292627607,6.90E-05,0.951680301,0.267296362,0.001002857,0.221864972,0.11601293,0.97288518,0.191801795,0.953944604,0.001029821,0.998456697,0.572777919,0.019001501,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.553,-0.603,-0.0495,0.487,0.218,1.1,0.0123,0.231,0.822,-0.0163,-0.619,-0.57,0.47,0.483,0.252
200,PC O-34:2,744.590725 -> 184.07,0.610793671,0.818969019,0.778083838,0.000600046,0.729351828,0.000491128,0.897844837,0.636032878,0.000113032,0.849817274,0.963622707,0.970438284,0.03730155,0.976005797,0.005051603,0.998456697,0.819305238,0.009672047,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.0925,-0.0415,0.0511,0.777,-0.0627,0.795,-0.0232,-0.086,0.932,-0.373,-0.414,-0.465,0.404,0.381,0.467
201,PC O-34:3,742.575025 -> 184.07,0.047152948,0.996300257,0.046736042,0.043459274,0.694646696,0.149744941,0.502901182,0.294596506,0.000268668,0.346429825,0.997868493,0.311639517,0.242795823,0.969274459,0.299240076,0.924067762,0.584496396,0.009672047,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.305,0.000662,0.305,0.311,-0.0562,0.214,-0.0964,-0.153,0.671,-0.098,-0.0973,-0.403,0.213,0.116,0.269
202,PC O-34:5,738.564855 -> 184.1,0.06713832,0.035137923,0.734969425,0.42882193,0.667787539,0.815118091,0.223256289,0.108529258,0.13042114,0.416720608,0.238672683,0.970438284,0.720774621,0.962656101,0.88386299,0.783852927,0.385549786,0.338625631,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.98,2.33,0.345,0.815,0.438,-0.238,1.27,1.71,-1.6,-1.26,1.06,0.717,-0.45,0.824,-0.888
