"","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
"59","DG 36:6 NL 16:1","630.50977 -> 359.258641",0.104920714896962,0.281289453332499,0.518547546940112,0.952,0.644,1,FALSE,FALSE,FALSE,FALSE,0.284,-0.179,0.105,0.154,-0.0249,-0.13
"60","DG 36:7 NL 16:0","628.49407 -> 355.227291",0.533717434372129,0.0373378457238144,0.101909398334286,0.985,0.219,1,FALSE,FALSE,FALSE,FALSE,0.417,-1.6,-1.19,0.673,-0.929,0.256
"61","DG 36:7 NL 16:1","628.49407 -> 357.242941",0.55149914542964,0.243476401236612,0.541032913963065,0.985,0.615,1,FALSE,FALSE,FALSE,FALSE,0.203,-0.412,-0.209,0.205,-0.207,0.00184
"62","DG 36:7 NL 22:5","628.49407 -> 281.21167",0.41331275836717,0.0476309383387031,0.177470221958067,0.982,0.241,1,FALSE,FALSE,FALSE,FALSE,0.326,-0.885,-0.559,0.404,-0.481,0.0777
"63","DG 38:0 NL 20:0","670.59857 -> 341.269191",0.357817217155004,0.237511900300623,0.0547364352144297,0.98,0.61,1,FALSE,FALSE,FALSE,FALSE,0.302,0.395,0.698,-0.0311,0.364,-0.333
"64","DG 40:5 NL 20:0","688.58797 -> 359.25857",0.0845271904752304,0.855950983036459,0.112580746236563,0.943,0.82,1,FALSE,FALSE,FALSE,FALSE,1.52,-0.144,1.37,0.554,0.41,-0.963
"65","DG 40:5 NL 22:5","688.58797 -> 341.30557",0.164273836888732,0.778890573275464,0.24953066434884,0.966,0.808,1,FALSE,FALSE,FALSE,FALSE,0.409,-0.0775,0.331,0.162,0.0847,-0.247
"66","DG 40:6 NL 20:0","686.57237 -> 357.24297",0.115209278539956,0.897913590512806,0.140645042296142,0.956,0.825,1,FALSE,FALSE,FALSE,FALSE,2.73,-0.204,2.53,0.978,0.774,-1.75
"67","DG 40:6 NL 22:6","686.57237 -> 341.30587",0.362921870668886,0.900861332755343,0.427225191540095,0.98,0.826,1,FALSE,FALSE,FALSE,FALSE,0.506,-0.0675,0.439,0.191,0.124,-0.315
"68","DG 40:7 NL 22:6","684.55667 -> 339.29017",0.270085912571915,0.844453465037307,0.354588866388085,0.976,0.818,1,FALSE,FALSE,FALSE,FALSE,0.291,-0.0497,0.241,0.114,0.0638,-0.177
"69","DG 42:10 NL 16:0","706.54107 -> 433.274291",0.169069865561097,0.0937959075320241,0.705755174956466,0.967,0.391,1,FALSE,FALSE,FALSE,FALSE,0.369,-0.465,-0.0955,0.278,-0.187,-0.0913
"70","DG 42:11 NL 16:0","704.52537 -> 431.258591",0.49765341715113,0.0604148142844728,0.177679904717874,0.984,0.285,1,FALSE,FALSE,FALSE,FALSE,0.386,-1.19,-0.803,0.525,-0.664,0.139
"71","DG 42:11 NL 22:5","704.52537 -> 357.24297",0.306039180579424,0.0431999918570598,0.226095565096728,0.978,0.232,1,FALSE,FALSE,FALSE,FALSE,0.427,-0.939,-0.512,0.455,-0.484,0.0284
"72","DG 42:6 NL 22:6","714.60367 -> 369.33717",0.104287276340575,0.04923290631146,0.639440802583464,0.952,0.243,1,FALSE,FALSE,FALSE,FALSE,0.204,-0.257,-0.054,0.154,-0.104,-0.0498
"73","DG O-36:4 NL 18:1","620.56177 -> 321.26177",0.568453148012951,0.174584337322035,0.3961421815751,0.986,0.542,1,FALSE,FALSE,FALSE,FALSE,0.0708,-0.178,-0.107,0.0828,-0.0948,0.012
"74","DG O-38:8 NL 16:1","640.53047 -> 369.279341",0.077068574273865,0.0491257798037025,0.778381309075422,0.939,0.243,1,FALSE,FALSE,FALSE,FALSE,0.16,-0.183,-0.0229,0.114,-0.0686,-0.0457
"75","DG O-38:8 NL 18:0","640.53047 -> 339.23047",0.500961705664998,0.725243987546481,0.741990189896905,0.984,0.799,1,FALSE,FALSE,FALSE,FALSE,-0.0927,0.0479,-0.0448,-0.0469,0.00102,0.0459
"76","DG O-38:9 NL 18:1","638.51487 -> 339.21487",0.695545622493289,0.10524288448704,0.0563413760251766,0.987,0.42,1,FALSE,FALSE,FALSE,FALSE,-0.0357,-0.161,-0.197,0.0418,-0.119,0.0775
"77","DG O-40:9 NL 18:2","666.54617 -> 369.24617",0.871743196510438,0.0489139455425165,0.0633207526386291,0.989,0.243,1,FALSE,FALSE,FALSE,FALSE,0.0107,-0.149,-0.139,0.0534,-0.0961,0.0427
"78","LPC 14:0","468.345425 -> 184.07",0.825354991281121,0.0540859687611578,0.0380002218711683,0.989,0.26,1,FALSE,FALSE,FALSE,FALSE,0.0206,0.204,0.225,-0.0612,0.143,-0.0818
"79","LPC 16:0","496.376725 -> 184.07",0.60366274412217,0.00427342946401714,0.00920897052317595,0.986,0.0466,1,FALSE,FALSE,FALSE,FALSE,-0.0759,0.558,0.482,-0.211,0.347,-0.135
"80","LPC 16:1","494.361025 -> 184.07",0.848721456562181,0.0140303132599451,0.0104789569411395,0.989,0.111,1,FALSE,FALSE,FALSE,FALSE,0.0168,0.267,0.284,-0.0836,0.184,-0.1
"81","LPC 18:0","524.408025 -> 184.07",0.00151668156479697,0.000330932554699166,0.232110222571904,0.101,0.000113,1,FALSE,FALSE,FALSE,FALSE,-0.297,0.378,0.0808,-0.225,0.153,0.072
"82","LPC 20:1","550.387225 -> 184.07",0.112221170620811,0.786470222942776,0.0730427808372387,0.955,0.809,1,FALSE,FALSE,FALSE,FALSE,-0.156,-0.0244,-0.18,-0.0438,-0.0681,0.112
"83","LPC 26:0","636.496825 -> 184.07",0.386525429832156,0.721786403558793,0.235096071745761,0.981,0.798,1,FALSE,FALSE,FALSE,FALSE,-0.121,-0.0486,-0.169,-0.024,-0.0726,0.0966
"84","LPC O-18:1","508.376725 -> 184.07",0.873562648789164,0.778287748015889,0.660863488603722,0.989,0.808,1,FALSE,FALSE,FALSE,FALSE,0.0153,0.0271,0.0424,-0.00394,0.0232,-0.0192
"85","LPE 22:5","528.309025 -> 387.289025",0.559979238941489,0.777531770220488,0.760113785677234,0.985,0.808,1,FALSE,FALSE,FALSE,FALSE,0.06,-0.0289,0.0312,0.0296,0.000781,-0.0304
"86","LPS O-20:0","556.361425 -> 371.352498",0.419243097579467,0.0949477797060889,0.326773982044495,0.982,0.394,1,FALSE,FALSE,FALSE,FALSE,0.233,-0.519,-0.286,0.251,-0.268,0.0176
"87","PC 24:0","622.444825 -> 184.07",0.16930275985772,0.368237429512051,0.0393809601045184,0.967,0.695,1,FALSE,FALSE,FALSE,FALSE,-0.139,-0.0876,-0.226,-0.0171,-0.105,0.122
"88","PC 26:0","650.476125 -> 184.07",0.0434814324702578,0.307816951514351,0.00839767895876794,0.902,0.662,1,FALSE,FALSE,FALSE,FALSE,-0.273,-0.124,-0.397,-0.0498,-0.174,0.223
"89","PC 28:0","678.543725 -> 184.07",0.00253680436431832,0.76599573000699,0.00384193185377826,0.18,0.806,1,FALSE,FALSE,FALSE,FALSE,-0.412,0.0292,-0.383,-0.147,-0.118,0.265
"90","PC 28:1","676.528125 -> 184.07",0.0635346283963781,0.430134855785319,0.221679165634864,0.929,0.722,1,FALSE,FALSE,FALSE,FALSE,-0.328,0.126,-0.202,-0.152,-0.0251,0.177
"91","PC 30:0","706.575025 -> 184.07",0.113122350882287,0.656518752140777,0.0555978059862439,0.955,0.786,1,FALSE,FALSE,FALSE,FALSE,0.189,0.0491,0.238,0.0468,0.0958,-0.143
"92","PC 30:1","704.559425 -> 184.07",0.0944359511788198,0.0334682651849874,0.520903714762044,0.948,0.208,1,FALSE,FALSE,FALSE,FALSE,-0.202,0.274,0.0715,-0.159,0.115,0.0436
"93","PC 30:2","702.543725 -> 184.07",0.251608526612163,0.0136039343575812,0.0905887279726153,0.975,0.108,1,FALSE,FALSE,FALSE,FALSE,-0.149,0.38,0.232,-0.176,0.204,-0.0277
"94","PC 32:0","734.606325 -> 184.07",0.000243305462881235,0.00738352747188555,1.03592940669729e-05,0.00205,0.0678,1,FALSE,FALSE,FALSE,FALSE,0.526,0.297,0.823,0.0761,0.374,-0.45
"95","PC 32:1","732.590725 -> 184.07",0.145840353304168,0.064381509855485,0.606676715197428,0.963,0.3,1,FALSE,FALSE,FALSE,FALSE,-0.175,0.234,0.0583,-0.136,0.0973,0.039
"96","PC 32:2","730.575025 -> 184.07",0.805753537112381,0.0302836232086204,0.0448425615998767,0.989,0.198,1,FALSE,FALSE,FALSE,FALSE,-0.0307,0.318,0.287,-0.116,0.202,-0.0856
