Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
DG 36:5 NL 20:4,632.52537 -> 311.25857,RDH12_100_vs_RDH12_Veh,0.0809,0.608358802,0.834931143
DG 36:5 NL 20:4,632.52537 -> 311.25857,RDH12_200_vs_RDH12_100,0.0707,0.653972819,0.812543053
DG 36:5 NL 20:4,632.52537 -> 311.25857,RDH12_200_vs_RDH12_Veh,0.152,0.346433005,0.631395558
DG 36:6 NL 16:0,630.50977 -> 357.242991,RDH12_100_vs_RDH12_Veh,0.34,0.599709766,0.834931143
DG 36:6 NL 16:0,630.50977 -> 357.242991,RDH12_200_vs_RDH12_100,-1.39,0.054231035,0.267901314
DG 36:6 NL 16:0,630.50977 -> 357.242991,RDH12_200_vs_RDH12_Veh,-1.05,0.128252464,0.406132803
DG 36:6 NL 16:1,630.50977 -> 359.258641,RDH12_100_vs_RDH12_Veh,0.303,0.094446378,0.482615795
DG 36:6 NL 16:1,630.50977 -> 359.258641,RDH12_200_vs_RDH12_100,-0.198,0.253105009,0.573549884
DG 36:6 NL 16:1,630.50977 -> 359.258641,RDH12_200_vs_RDH12_Veh,0.106,0.529987618,0.766055273
DG 36:6 NL 22:5,630.50977 -> 283.22737,RDH12_100_vs_RDH12_Veh,0.328,0.198037001,0.592534007
DG 36:6 NL 22:5,630.50977 -> 283.22737,RDH12_200_vs_RDH12_100,-0.632,0.025803015,0.179872799
DG 36:6 NL 22:5,630.50977 -> 283.22737,RDH12_200_vs_RDH12_Veh,-0.304,0.229024345,0.527635881
DG 36:7 NL 16:0,628.49407 -> 355.227291,RDH12_100_vs_RDH12_Veh,0.324,0.641664826,0.839608583
DG 36:7 NL 16:0,628.49407 -> 355.227291,RDH12_200_vs_RDH12_100,-1.48,0.056949856,0.271971664
DG 36:7 NL 16:0,628.49407 -> 355.227291,RDH12_200_vs_RDH12_Veh,-1.15,0.122052739,0.403684265
DG 36:7 NL 16:1,628.49407 -> 357.242941,RDH12_100_vs_RDH12_Veh,0.147,0.680327128,0.840204003
DG 36:7 NL 16:1,628.49407 -> 357.242941,RDH12_200_vs_RDH12_100,-0.337,0.355799286,0.63100758
DG 36:7 NL 16:1,628.49407 -> 357.242941,RDH12_200_vs_RDH12_Veh,-0.19,0.596652858,0.793971778
DG 36:7 NL 22:5,628.49407 -> 281.21167,RDH12_100_vs_RDH12_Veh,0.237,0.551742934,0.814588646
DG 36:7 NL 22:5,628.49407 -> 281.21167,RDH12_200_vs_RDH12_100,-0.764,0.078533642,0.303090773
DG 36:7 NL 22:5,628.49407 -> 281.21167,RDH12_200_vs_RDH12_Veh,-0.527,0.203409391,0.507496156
DG 38:0 NL 20:0,670.59857 -> 341.269191,RDH12_100_vs_RDH12_Veh,0.298,0.339573208,0.728808237
DG 38:0 NL 20:0,670.59857 -> 341.269191,RDH12_200_vs_RDH12_100,0.397,0.212692051,0.519630609
DG 38:0 NL 20:0,670.59857 -> 341.269191,RDH12_200_vs_RDH12_Veh,0.695,0.044050141,0.322227356
DG 38:2 NL 16:1,666.54617 -> 369.24617,RDH12_100_vs_RDH12_Veh,-0.00227,0.974189452,0.979816109
DG 38:2 NL 16:1,666.54617 -> 369.24617,RDH12_200_vs_RDH12_100,-0.135,0.08117818,0.308477084
DG 38:2 NL 16:1,666.54617 -> 369.24617,RDH12_200_vs_RDH12_Veh,-0.137,0.076997894,0.389044347
DG 40:5 NL 20:0,688.58797 -> 359.25857,RDH12_100_vs_RDH12_Veh,0.365,0.173594726,0.578874408
DG 40:5 NL 20:0,688.58797 -> 359.25857,RDH12_200_vs_RDH12_100,-0.0947,0.709730526,0.850701003
