"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"C5orf24",NA,-0.265,0.597033875552372,"-0.26","0.597",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C6orf120",NA,0.367,0.390453372153235,"0.37","0.390",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C6orf47",NA,-0.755,0.0696346854816417,"-0.76","0.070",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C7orf25",NA,-0.0347,0.896760184990777,"-0.03","0.897",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C7orf50",NA,-0.832,0.0177115434033671,"-0.83","0.018",TRUE,FALSE,FALSE,FALSE,"NS",NA
"C8orf33",NA,-1.09,0.0496913767743787,"-1.09","0.050",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C8orf82",NA,0.443,0.0251013277048382,"0.44","0.025",TRUE,FALSE,FALSE,FALSE,"NS",NA
"C9orf40",NA,-1.57,0.0290090870739174,"-1.57","0.029",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C9orf78",NA,-1.37,0.000544174163321605,"-1.37","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C9orf85",NA,-1.27,0.0204034719703101,"-1.27","0.020",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CA5B",NA,-0.958,0.127671650179504,"-0.96","0.128",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CA8",NA,-0.925,0.0102968200694407,"-0.92","0.010",TRUE,FALSE,FALSE,FALSE,"NS",NA
"CAAP1",NA,-1.32,3.7524051977494e-05,"-1.32","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CAB39",NA,-0.303,0.0900954837888584,"-0.30","0.090",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CABLES1",NA,6.37,0.000247943846102876,"6.37","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CACHD1",NA,-0.713,0.0610309530792077,"-0.71","0.061",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CACNA2D1",NA,0.246,0.391022985166276,"0.25","0.391",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CACNA2D2",NA,-0.0447,0.902135436069231,"-0.04","0.902",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CACNB3",NA,4.38,9.71394373409898e-05,"4.38","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CACTIN",NA,-0.637,0.0341219152609363,"-0.64","0.034",TRUE,FALSE,FALSE,FALSE,"NS",NA
"CACUL1",NA,0.0471,0.893318749468334,"0.05","0.893",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CACYBP",NA,-1.03,0.00126827923269439,"-1.03","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CAD",NA,0.523,0.0968168671005313,"0.52","0.097",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CADM1",NA,0.118,0.801233582120047,"0.12","0.801",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CADM4",NA,-1.76,0.00469295921299475,"-1.76","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CALCB",NA,-0.731,0.0297383369901247,"-0.73","0.030",TRUE,FALSE,FALSE,FALSE,"NS",NA
