"name","Class","Contrast","UpGroup","DownGroup","Direction","EnrichedIn","p_value","ratio"
"PC 44:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.350009935,0.109
"PC 44:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.340114769,0.0916
"PC 44:5","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.345808618,0.0884
"PC 44:8","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.152951788,0.114
"PC 46:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.616117524,0.0496
"PC 46:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.732606085,-0.0372
"PC 48:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.891790792,0.013
"PC O-24:6","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.281071403,-0.553
"PC O-28:0","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.757386771,-0.045
"PC O-28:1","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.891751963,0.0232
"PC O-30:1","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.105620927,0.237
"PC O-30:6","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.030306452,-0.351
"PC O-32:0","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.100202605,0.368
"PC O-32:1","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.164602135,0.276
"PC O-32:2","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.046982126,0.259
"PC O-32:3","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.431085889,0.103
"PC O-32:6","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.164279333,-0.669
"PC O-34:0","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.044596387,0.39
"PC O-34:1","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.014790998,0.553
"PC O-34:2","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.610793671,0.0925
"PC O-34:3","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.047152948,0.305
"PC O-34:5","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","Down","WT Veh",0.06713832,-1.98
"PC O-36:1","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.316575954,0.217
"PC O-36:2","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.238432361,-0.223
"PC O-36:3","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.156149521,0.286
"PC O-36:6","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.873458781,0.0267
"PC O-38:1","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.127403626,0.31
