"ContrastID","Contrast","ComparisonType","Class","Direction","EnrichedIn","Count","SignedCount"
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","Other","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","Oxidized PC","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","Oxidized PC","Up","RDH12 200",1,1
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PC","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PC","Up","RDH12 200",7,7
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PC ether","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PC ether","Up","RDH12 200",5,5
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PE","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PE","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","PE ether","Down","RDH12 100",0,0
