"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"BTBD8",-0.745,0.933,-0.7,0.93,"-0.7","0.93","NS",NA
"BTBD9",-2.84,0.953,-2.8,0.95,"-2.8","0.95","NS",NA
"BTF3",-1.69,0.892,-1.7,0.89,"-1.7","0.89","NS",NA
"BTF3L4",-1.27,0.929,-1.3,0.93,"-1.3","0.93","NS",NA
"C11orf54",-1.73,0.882,-1.7,0.88,"-1.7","0.88","NS",NA
"C1orf122",-0.853,0.948,-0.9,0.95,"-0.9","0.95","NS",NA
"C1orf159",-1.94,0.839,-1.9,0.84,"-1.9","0.84","NS",NA
"C1orf198",0.118,0.966,0.1,0.97,"0.1","0.97","NS",NA
"C1orf43",-0.171,0.963,-0.2,0.96,"-0.2","0.96","NS",NA
"C1orf50",0.104,0.967,0.1,0.97,"0.1","0.97","NS",NA
"C1orf52",-0.462,0.962,-0.5,0.96,"-0.5","0.96","NS",NA
"C2orf49",0.0481,0.969,0,0.97,"0.0","0.97","NS",NA
"C4A",-0.946,0.958,-0.9,0.96,"-0.9","0.96","NS",NA
"C4BPA",-6.63,0.622,-6.6,0.62,"-6.6","0.62","NS",NA
"C6orf89",5.37,0.186,5.4,0.19,"5.4","0.19","NS",NA
"C8orf88",-1.32,0.958,-1.3,0.96,"-1.3","0.96","NS",NA
"C9orf40",-0.015,0.97,0,0.97,"-0.0","0.97","NS",NA
"C9orf72",3.72,0.946,3.7,0.95,"3.7","0.95","NS",NA
"C9orf78",-0.495,0.949,-0.5,0.95,"-0.5","0.95","NS",NA
"CAAP1",-0.651,0.911,-0.7,0.91,"-0.7","0.91","NS",NA
"CABIN1",5.49,0.702,5.5,0.7,"5.5","0.70","NS",NA
"CABLES1",5.43,0.102,5.4,0.1,"5.4","0.10","NS",NA
"CACNB3",2.03,0.167,2,0.17,"2.0","0.17","NS",NA
"CACYBP",-1.45,0.617,-1.4,0.62,"-1.4","0.62","NS",NA
"CALCOCO2",-1.63,0.739,-1.6,0.74,"-1.6","0.74","NS",NA
"CAPG",-0.674,0.935,-0.7,0.94,"-0.7","0.94","NS",NA
"CAPRIN1",-0.638,0.949,-0.6,0.95,"-0.6","0.95","NS",NA
"CAPZB",-1.49,0.348,-1.5,0.35,"-1.5","0.35","NS",NA
"CARMIL1",0.385,0.956,0.4,0.96,"0.4","0.96","NS",NA
"CARMIL2",-1.69,0.801,-1.7,0.8,"-1.7","0.80","NS",NA
"CAST",-1.52,0.897,-1.5,0.9,"-1.5","0.90","NS",NA
"CASTOR2",-1.2,0.947,-1.2,0.95,"-1.2","0.95","NS",NA
"CBR1",-2.88,0.349,-2.9,0.35,"-2.9","0.35","NS",NA
"CBX7",-0.275,0.968,-0.3,0.97,"-0.3","0.97","NS",NA
"CBY1",-0.254,0.964,-0.3,0.96,"-0.3","0.96","NS",NA
"CCDC106",0.597,0.932,0.6,0.93,"0.6","0.93","NS",NA
"CCDC120",3.5,0.902,3.5,0.9,"3.5","0.90","NS",NA
"CCDC124",-1.66,0.879,-1.7,0.88,"-1.7","0.88","NS",NA
"CCDC138",-3.5,0.933,-3.5,0.93,"-3.5","0.93","NS",NA
"CCDC158",8.04,0.262,8,0.26,"8.0","0.26","NS",NA
"CCDC174",-0.97,0.894,-1,0.89,"-1.0","0.89","NS",NA
"CCDC18",-0.322,0.961,-0.3,0.96,"-0.3","0.96","NS",NA
"CCDC186",-0.285,0.955,-0.3,0.96,"-0.3","0.96","NS",NA
"CCDC28A",-0.291,0.964,-0.3,0.96,"-0.3","0.96","NS",NA
"CCDC28B",-0.371,0.966,-0.4,0.97,"-0.4","0.97","NS",NA
"CCDC43",-1.06,0.897,-1.1,0.9,"-1.1","0.90","NS",NA
"CCDC6",-0.722,0.941,-0.7,0.94,"-0.7","0.94","NS",NA
"CCDC82",5.34,0.914,5.3,0.91,"5.3","0.91","NS",NA
"CCK",-0.195,0.968,-0.2,0.97,"-0.2","0.97","NS",NA
"CCN1",-9.35,0.00189,-9.3,0,"-9.3","<0.01","Down",NA
"CCN2",-7.86,0.335,-7.9,0.34,"-7.9","0.34","NS",NA
"CCNQ",4.91,0.892,4.9,0.89,"4.9","0.89","NS",NA
"CCNYL1",3.84,0.277,3.8,0.28,"3.8","0.28","NS",NA
"CCPG1",-1.75,0.686,-1.8,0.69,"-1.8","0.69","NS",NA
"CD151",-1.38,0.84,-1.4,0.84,"-1.4","0.84","NS",NA
"CD2AP",-0.134,0.965,-0.1,0.96,"-0.1","0.96","NS",NA
"CD40",0.603,0.967,0.6,0.97,"0.6","0.97","NS",NA
"CD81",-0.857,0.929,-0.9,0.93,"-0.9","0.93","NS",NA
"CD83",-6.58,0.125,-6.6,0.12,"-6.6","0.12","NS",NA
"CD84",5.39,0.81,5.4,0.81,"5.4","0.81","NS",NA
"CD9",-0.305,0.965,-0.3,0.96,"-0.3","0.96","NS",NA
"CD99",0.969,0.965,1,0.96,"1.0","0.96","NS",NA
"CDC123",-0.914,0.704,-0.9,0.7,"-0.9","0.70","NS",NA
"CDC16",5.34,0.592,5.3,0.59,"5.3","0.59","NS",NA
"CDC37",-0.96,0.878,-1,0.88,"-1.0","0.88","NS",NA
"CDC42EP1",0.735,0.926,0.7,0.93,"0.7","0.93","NS",NA
"CDC42EP4",0.233,0.963,0.2,0.96,"0.2","0.96","NS",NA
"CDCA7L",1.12,0.722,1.1,0.72,"1.1","0.72","NS",NA
"CDK11A",0.000634,0.97,0,0.97,"0.0","0.97","NS",NA
"CDK16",2.66,0.632,2.7,0.63,"2.7","0.63","NS",NA
"CDK19",4,0.414,4,0.41,"4.0","0.41","NS",NA
"CDKN1A",-0.97,0.91,-1,0.91,"-1.0","0.91","NS",NA
"CDKN2A",-0.0459,0.968,0,0.97,"-0.0","0.97","NS",NA
"CDT1",-0.345,0.957,-0.3,0.96,"-0.3","0.96","NS",NA
"CDV3",-1.65,0.892,-1.6,0.89,"-1.6","0.89","NS",NA
"CEBPZOS",-1.86,0.856,-1.9,0.86,"-1.9","0.86","NS",NA
"CENPF",0.739,0.93,0.7,0.93,"0.7","0.93","NS",NA
"CENPW",0.431,0.958,0.4,0.96,"0.4","0.96","NS",NA
"CEP170",0.72,0.909,0.7,0.91,"0.7","0.91","NS",NA
"CEP170B",0.62,0.919,0.6,0.92,"0.6","0.92","NS",NA
"CEP41",0.404,0.942,0.4,0.94,"0.4","0.94","NS",NA
"CEP63",4.13,0.334,4.1,0.33,"4.1","0.33","NS",NA
"CEP68",5.04,0.0641,5,0.06,"5.0","0.06","NS",NA
"CEP85",-0.354,0.96,-0.4,0.96,"-0.4","0.96","NS",NA
"CEP85L",1.32,0.946,1.3,0.95,"1.3","0.95","NS",NA
"CES3",1.4,0.788,1.4,0.79,"1.4","0.79","NS",NA
"CFAP298",-0.632,0.915,-0.6,0.92,"-0.6","0.92","NS",NA
"CFAP97",1.27,0.876,1.3,0.88,"1.3","0.88","NS",NA
"CFDP1",-1.71,0.797,-1.7,0.8,"-1.7","0.80","NS",NA
"CFL1",-1.14,0.592,-1.1,0.59,"-1.1","0.59","NS",NA
"CHCHD4",-3.25,0.858,-3.2,0.86,"-3.2","0.86","NS",NA
"CHKA",-0.604,0.966,-0.6,0.97,"-0.6","0.97","NS",NA
"CHMP4A",-1.53,0.883,-1.5,0.88,"-1.5","0.88","NS",NA
