"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"CACNB3",1.86,8.87e-06,1.9,0,"1.9","<0.01","Up",NA
"CACYBP",-1.03,0.0332,-1,0.03,"-1.0","0.03","Down",NA
"CALCOCO2",0.212,0.444,0.2,0.44,"0.2","0.44","NS",NA
"CAPG",-1.25,0.0313,-1.2,0.03,"-1.2","0.03","Down",NA
"CAPRIN1",-1.56,0.0356,-1.6,0.04,"-1.6","0.04","Down",NA
"CAPZB",-1.02,0.00943,-1,0.01,"-1.0","<0.01","Down",NA
"CARMIL1",-1.68,0.00496,-1.7,0,"-1.7","<0.01","Down",NA
"CARMIL2",-1.78,0.0141,-1.8,0.01,"-1.8","0.01","Down",NA
"CAST",-2.09,0.0198,-2.1,0.02,"-2.1","0.02","Down",NA
"CASTOR2",2.1,0.102,2.1,0.1,"2.1","0.10","NS",NA
"CBR1",-1.72,0.023,-1.7,0.02,"-1.7","0.02","Down",NA
"CBX7",3.75,0.106,3.8,0.11,"3.8","0.11","NS",NA
"CBY1",-1.03,0.129,-1,0.13,"-1.0","0.13","NS",NA
"CCDC106",-0.681,0.136,-0.7,0.14,"-0.7","0.14","NS",NA
"CCDC120",-1.54,0.324,-1.5,0.32,"-1.5","0.32","NS",NA
"CCDC124",-1.84,0.0393,-1.8,0.04,"-1.8","0.04","Down",NA
"CCDC138",-2.65,0.266,-2.6,0.27,"-2.6","0.27","NS",NA
"CCDC158",7.64,2.51e-05,7.6,0,"7.6","<0.01","Up",NA
"CCDC174",-1.22,0.0307,-1.2,0.03,"-1.2","0.03","Down",NA
"CCDC18",-0.592,0.291,-0.6,0.29,"-0.6","0.29","NS",NA
"CCDC186",-1.34,0.000885,-1.3,0,"-1.3","<0.01","Down",NA
"CCDC28A",-2.13,0.0213,-2.1,0.02,"-2.1","0.02","Down",NA
"CCDC28B",-1.18,0.293,-1.2,0.29,"-1.2","0.29","NS",NA
"CCDC43",-1.67,0.00804,-1.7,0.01,"-1.7","<0.01","Down",NA
"CCDC6",-1.68,0.0157,-1.7,0.02,"-1.7","0.02","Down",NA
"CCDC82",5.68,0.101,5.7,0.1,"5.7","0.10","NS",NA
"CCK",0.263,0.506,0.3,0.51,"0.3","0.51","NS",NA
"CCN1",-0.75,0.378,-0.8,0.38,"-0.8","0.38","NS",NA
"CCN2",-1.01,0.393,-1,0.39,"-1.0","0.39","NS",NA
"CCNQ",4.38,0.107,4.4,0.11,"4.4","0.11","NS",NA
"CCNYL1",4.03,3.29e-06,4,0,"4.0","<0.01","Up",NA
"CCPG1",-0.298,0.4,-0.3,0.4,"-0.3","0.40","NS",NA
"CD151",0.173,0.467,0.2,0.47,"0.2","0.47","NS",NA
"CD2AP",-1.24,0.0129,-1.2,0.01,"-1.2","0.01","Down",NA
"CD40",-0.763,0.474,-0.8,0.47,"-0.8","0.47","NS",NA
"CD81",-0.654,0.249,-0.7,0.25,"-0.7","0.25","NS",NA
"CD83",-1.21,0.28,-1.2,0.28,"-1.2","0.28","NS",NA
"CD84",1.62,0.333,1.6,0.33,"1.6","0.33","NS",NA
"CD9",0.0935,0.519,0.1,0.52,"0.1","0.52","NS",NA
"CD99",-1.06,0.445,-1.1,0.44,"-1.1","0.44","NS",NA
"CDC123",-0.651,0.0499,-0.7,0.05,"-0.7","0.05","Down",NA
"CDC16",5.85,0.000485,5.8,0,"5.8","<0.01","Up",NA
"CDC37",-1.3,0.0119,-1.3,0.01,"-1.3","0.01","Down",NA
"CDC42EP1",-0.713,0.164,-0.7,0.16,"-0.7","0.16","NS",NA
"CDC42EP4",-1.23,0.0472,-1.2,0.05,"-1.2","0.05","Down",NA
"CDCA7L",-0.36,0.281,-0.4,0.28,"-0.4","0.28","NS",NA
"CDK11A",6.43,0.000165,6.4,0,"6.4","<0.01","Up",NA
"CDK16",2.17,0.016,2.2,0.02,"2.2","0.02","Up",NA
"CDK19",4.12,6.9e-05,4.1,0,"4.1","<0.01","Up",NA
"CDKN1A",-3.01,1.01e-07,-3,0,"-3.0","<0.01","Down",NA
"CDKN2A",-0.497,0.197,-0.5,0.2,"-0.5","0.20","NS",NA
"CDT1",-1.12,0.0412,-1.1,0.04,"-1.1","0.04","Down",NA
"CDV3",-1.85,0.0499,-1.9,0.05,"-1.9","0.05","Down",NA
"CEBPZOS",-0.789,0.28,-0.8,0.28,"-0.8","0.28","NS",NA
"CENPF",-0.5,0.283,-0.5,0.28,"-0.5","0.28","NS",NA
"CENPW",0.753,0.243,0.8,0.24,"0.8","0.24","NS",NA
"CEP170",-0.637,0.143,-0.6,0.14,"-0.6","0.14","NS",NA
"CEP170B",-0.746,0.08,-0.7,0.08,"-0.7","0.08","NS",NA
"CEP41",-0.66,0.083,-0.7,0.08,"-0.7","0.08","NS",NA
"CEP63",3.76,0.00022,3.8,0,"3.8","<0.01","Up",NA
"CEP68",4.58,2.25e-07,4.6,0,"4.6","<0.01","Up",NA
"CEP85",-1.41,0.0405,-1.4,0.04,"-1.4","0.04","Down",NA
"CEP85L",-0.916,0.349,-0.9,0.35,"-0.9","0.35","NS",NA
"CES3",1.98,0.000369,2,0,"2.0","<0.01","Up",NA
"CFAP298",-1.09,0.0105,-1.1,0.01,"-1.1","0.01","Down",NA
"CFAP97",-0.704,0.227,-0.7,0.23,"-0.7","0.23","NS",NA
"CFDP1",-1.46,0.0421,-1.5,0.04,"-1.5","0.04","Down",NA
"CFL1",-1.22,0.000743,-1.2,0,"-1.2","<0.01","Down",NA
"CHCHD4",0.0276,0.539,0,0.54,"0.0","0.54","NS",NA
"CHKA",4.57,0.0532,4.6,0.05,"4.6","0.05","Up",NA
"CHMP4A",-1.83,0.029,-1.8,0.03,"-1.8","0.03","Down",NA
"CHMP4C",-1.45,0.0344,-1.4,0.03,"-1.4","0.03","Down",NA
"CHN1",0.354,0.477,0.4,0.48,"0.4","0.48","NS",NA
"CHORDC1",-1.27,0.0133,-1.3,0.01,"-1.3","0.01","Down",NA
"CHPF",3.62,0.144,3.6,0.14,"3.6","0.14","NS",NA
"CHPF2",-0.77,0.422,-0.8,0.42,"-0.8","0.42","NS",NA
"CHSY1",0.916,0.0577,0.9,0.06,"0.9","0.06","NS",NA
